Tue Jun 12 21:32:49 +0000 2018,$WMT Trade Setup For Experienced Investors Right Here...  https://t.co/MPZzd3ESWa
Tue Jun 12 21:04:32 +0000 2018,"UPDATE: AT&amp;T General Counsel Highlights Expectation For Merger With Time Warner To Close On Or Before Jun. 20, 2018 $T $TWX #Profesty"
Tue Jun 12 21:04:17 +0000 2018,RT @Reuters: MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALA\\u2026
Tue Jun 12 21:03:56 +0000 2018,RT @Reuters: MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALA\\u2026
Tue Jun 12 21:03:06 +0000 2018,RT @JBoorstin: Media M&amp;A floodgates are now open. The ruling in AT&amp;T\\u2019s favor is huge- most notably because of its lack of conditions on the\\u2026
Tue Jun 12 21:03:01 +0000 2018,RT @Reuters: MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALA\\u2026
Tue Jun 12 21:03:01 +0000 2018,$TSLA $T Bloomberg Markets: Will AT&amp;T and Time Warner Get Together via https://t.co/jURZDymPXI
Tue Jun 12 21:02:54 +0000 2018,RT @Reuters: MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALA\\u2026
Tue Jun 12 21:02:46 +0000 2018,"AT&amp;T applauds decision, looks to close on Time Warner by June 20 https://t.co/N3lMUxyLQz $T $TWX"
Tue Jun 12 21:02:45 +0000 2018,"AT&amp;T applauds decision, looks to close on Time Warner by June 20 https://t.co/HaBKb0Uioz $T $TWX"
Tue Jun 12 21:02:36 +0000 2018,RT @cfromhertz: *AT&amp;T WINS ANTITRUST RULING ALLOWING TAKEOVER OF TIME WARNER $T $TWX
Tue Jun 12 21:02:23 +0000 2018,RT @Reuters: MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALA\\u2026
Tue Jun 12 21:02:20 +0000 2018,"$T $TWX\\nAT&amp;T-Time Warner merger approved, setting the stage for more consolidation across corporate America\\nhttps://t.co/I8ekLYdYzW"
Tue Jun 12 21:02:07 +0000 2018,"AT&amp;T-Time Warner merger approved, setting the stage for more consolidation across corporate America \\u2014- but I was dumb to be a $T buyer the past few weeks #trolls said. I\\u2019m so dumb.  https://t.co/y6lPKMPrbx https://t.co/y6lPKMPrbx"
Tue Jun 12 21:02:04 +0000 2018,RT @Reuters: MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALA\\u2026
Tue Jun 12 21:02:02 +0000 2018,"AT&amp;T-Time Warner merger approved, setting the stage for more consolidation across corporate America \\u2014- but I was dumb to be a $T buyer the past few weeks #trolls said. I\\u2019m so dumb.  https://t.co/y6lPKMPrbx"
Tue Jun 12 21:02:00 +0000 2018,RT @Reuters: MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALA\\u2026
Tue Jun 12 21:01:57 +0000 2018,Media M&amp;A floodgates are now open. The ruling in AT&amp;T\\u2019s favor is huge- most notably because of its lack of conditions on the deal. $T $Twx $foxa $dis $cmcsa @CNBC
Tue Jun 12 21:01:49 +0000 2018,RT @Reuters: MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALA\\u2026
Tue Jun 12 21:01:48 +0000 2018,$T 2.8m ago: AT&amp;T Applauds Court Decision on Time Warner Deal https://t.co/u6zbLLMSgn
Tue Jun 12 21:01:40 +0000 2018,"RT @MWellerFX: Judge rules in favor of merger between AT&amp;T and Time Warner. $T is falling 1.6% in after hours trade, $TWX is rising 4.7%."
Tue Jun 12 21:01:33 +0000 2018,RT @Reuters: MORE: AT&amp;T general counsel says looks forward to closing merger with Time Warner on or before June 20 $T $TWX https://t.co/ALA\\u2026
Tue Jun 12 21:01:29 +0000 2018,Good news for AT&amp;T $T. May increase my position soon
Tue Jun 12 21:01:27 +0000 2018,"RT @permabear_uk: Judge approves the AT&amp;T $T and Time Warner $TWX deal.\\n--\\nMeanwhile, Comcast $CMCSA looks set to raise the bid for $FOXA.\\u2026"
Tue Jun 12 21:00:37 +0000 2018,RT @RichBTIG: Joining @MelissaLeeCNBCand the @CNBCFastMoney team around 5:15 pm to talk AT&amp;T Time Warner approval and implications \\n@timsey\\u2026
Tue Jun 12 21:00:15 +0000 2018,RT @cfromhertz: *AT&amp;T WINS ANTITRUST RULING ALLOWING TAKEOVER OF TIME WARNER $T $TWX
Tue Jun 12 21:00:14 +0000 2018,"In separate statements on court\'s decision to allow the $T/$TWX merger, Assistant Atty General expresses disapproval, AT&amp;T applauds"
Tue Jun 12 21:00:13 +0000 2018,$NFLX under pressure after-hours after AT&amp;T $T and Time Warner $TWX merger approved without conditions. A new behemoth enters the content arena. Major competition in the future.
Tue Jun 12 20:59:40 +0000 2018,AT&amp;T win combines tremendous reach with vast TWX content https://t.co/SCHTVyJgFK $T $TWX
Tue Jun 12 20:59:40 +0000 2018,AT&amp;T win combines tremendous reach with vast TWX content https://t.co/2uLYbNv81r $T $TWX
Tue Jun 12 20:59:37 +0000 2018,"AT&amp;T prevails in Time Warner merger trial, with... $T $TWX $FOX $FOXA $DIS $CMCSA $SKYAY $T $TWX $CMCSA $DIS https://t.co/BNOVoAIlKw"
Tue Jun 12 20:59:28 +0000 2018,UPDATE: Assistant U.S. Attorney General Delrahim says of AT&amp;T ruling: \'we will closely review the court\'s opinion and consider next steps\' $TWX $T
Tue Jun 12 20:58:48 +0000 2018,"Is it too much to say THIS CHANGES EVERYTHING #antitrust $t/ $twx \\nJudge approves AT&amp;T/Time Warner deal, no conditions, opening the door to greater media/comm convergence\\nhttps://t.co/SIAbRDJ2Jr https://t.co/O3RoMoWgju"
Tue Jun 12 20:57:26 +0000 2018,RT @RichBTIG: Joining @MelissaLeeCNBCand the @CNBCFastMoney team around 5:15 pm to talk AT&amp;T Time Warner approval and implications \\n@timsey\\u2026
Tue Jun 12 20:57:21 +0000 2018,TA DA! Looks like AT&amp;T\'s \\
Tue Jun 12 20:57:20 +0000 2018,"AT&amp;T won its case to acquire Time Warner Media. AT&amp;T now owns HBO, Warner Bros, Turner, etc. Big win for $T."
Tue Jun 12 20:56:37 +0000 2018,Joining @MelissaLeeCNBCand the @CNBCFastMoney team around 5:15 pm to talk AT&amp;T Time Warner approval and implications \\n@timseymour\\n@karenfinerman\\n@grassosteve\\n@guyadami\\n$T $TWX $FOXA $CMCSA $DIS $BSYLN https://t.co/9HWsKDZAq7
Tue Jun 12 20:56:20 +0000 2018,"\'JUST IN: Statement from U.S. Assistant Attorney General on AT&amp;T/Time Warner decision.\' - CNBC Tweets, AAG Says DoJ \'Disappointed\' With The Court\'s Decision $T #Profesty"
Tue Jun 12 20:56:13 +0000 2018,RT @MattEganCNN: Time Warner shares pop 5% after judge approves $85 billion AT&amp;T deal: https://t.co/RvWJGYhphb $T $TWX by @Hadas_Gold
Tue Jun 12 20:55:52 +0000 2018,"For those of you who don\'t know, $GME (#GameStop) owns Spring Mobile, the largest $T (#ATT) authorized retailer. Their stores are identical - if you purchased your phone at an AT&amp;T location, it was likely through them. https://t.co/fdyMLlX0uu"
Tue Jun 12 20:55:45 +0000 2018,@jolingkent Let\\u2019s see how much our friends over at AT&amp;T will now charge folks to watch \\u201cGame of Thrones.\\u201d\\n$T
Tue Jun 12 20:55:39 +0000 2018,"Judge rules in favor of merger between AT&amp;T and Time Warner. $T is falling 1.6% in after hours trade, $TWX is rising 4.7%."
Tue Jun 12 20:55:26 +0000 2018,RT @PipsToDollars: BREAKING: AT T -TIME WARNER deal approved.\\n$twx $t
Tue Jun 12 20:54:34 +0000 2018,Unusual options activity predicted this\\n$TWX Time Warner $T @ATT \\nBBC News - Judge clears AT&amp;T takeover of Time Warner https://t.co/Ugzsc0vomE
Tue Jun 12 20:54:28 +0000 2018,RT @DallasBizNews: #BREAKING: Judge rules for AT&amp;T in landmark merger with Time Warner: https://t.co/xnqgjbxKez $T $TWX
Tue Jun 12 20:54:18 +0000 2018,"RT @permabear_uk: Judge approves the AT&amp;T $T and Time Warner $TWX deal.\\n--\\nMeanwhile, Comcast $CMCSA looks set to raise the bid for $FOXA.\\u2026"
Tue Jun 12 20:54:16 +0000 2018,$T $TWX spread at 1.44% right now. Closed at 7.16%
Tue Jun 12 20:53:17 +0000 2018,$T AT&amp;T Inc. Option Order Flow Sentiment is 65.6% Bullish. https://t.co/oSuGSDJuCz
Tue Jun 12 20:53:11 +0000 2018,RT @RichBTIG: Handbook: \\u201cIf AT&amp;T Time Warner Approved\\u201d what you need to know\\n$T $TWX $FOXA $CMCSA $DIS $SKYLN\\nhttps://t.co/RaAF5kx2JJ
Tue Jun 12 20:52:57 +0000 2018,RT @aarontask: What a time to be alive!!\\n- #Netneutrality is dead!\\n- AT&amp;T can buy Time Warner!! $T\\n- Ohio can kick voters off the rolls!!!\\u2026
Tue Jun 12 20:52:46 +0000 2018,More media deals to come? 21st Century Fox shares soar 6% after-hours as judge clears AT&amp;T\'s takeover of Time Warner. $FOXA $TWX $T
Tue Jun 12 20:52:27 +0000 2018,"AT&amp;T has 254,000 employees and Time Warner has 26,000. You can expect many redundancies and many layoffs at Time Warner to come. $T $TWX https://t.co/eIMMZB7uH6"
Tue Jun 12 20:52:18 +0000 2018,RT @RichBTIG: Handbook: \\u201cIf AT&amp;T Time Warner Approved\\u201d what you need to know\\n$T $TWX $FOXA $CMCSA $DIS $SKYLN\\nhttps://t.co/RaAF5kx2JJ
Tue Jun 12 20:52:02 +0000 2018,$T Judge approves Time Warner AT&amp;T deal
Tue Jun 12 20:50:45 +0000 2018,"RT @stephenfoley: The Schrodinger\'s cat of M&amp;A. As a judge hands down his antitrust ruling in a sealed courtroom, is the AT&amp;T-Time Warner d\\u2026"
Tue Jun 12 20:50:42 +0000 2018,"RT @permabear_uk: Judge approves the AT&amp;T $T and Time Warner $TWX deal.\\n--\\nMeanwhile, Comcast $CMCSA looks set to raise the bid for $FOXA.\\u2026"
Tue Jun 12 20:50:35 +0000 2018,RT @DallasBizNews: #BREAKING: Judge rules for AT&amp;T in landmark merger with Time Warner: https://t.co/xnqgjbxKez $T $TWX
Tue Jun 12 20:50:08 +0000 2018,Time Warner mergers with AT&amp;T \\ud83d\\udc40 big bucks coming $TMW $T
Tue Jun 12 20:50:06 +0000 2018,Judge approves AT&amp;T-Time Warner merger $T https://t.co/c8MMhk25cw
Tue Jun 12 20:50:02 +0000 2018,@AP Blue Horseshoe Loves AT &amp; T \\n \\n$T \\nWatch Wed Morning https://t.co/rKDpkYHMQ8
Tue Jun 12 20:49:55 +0000 2018,Judge approves AT&amp;T-Time Warner merger $T https://t.co/BnYkJBjail
Tue Jun 12 20:49:46 +0000 2018,What a time to be alive!!\\n- #Netneutrality is dead!\\n- AT&amp;T can buy Time Warner!! $T\\n- Ohio can kick voters off the rolls!!!\\n- Dennis Rodman shilling PotCoin at #TrumpKimMeeting!!!!!\\n- Lebron played #NBAFinals one-handed!!!!!\\n- Ovi is still drunk (with joy over #StanleyCup)!!!!!!
Tue Jun 12 20:49:45 +0000 2018,Time Warner shares pop 5% after judge approves $85 billion AT&amp;T deal: https://t.co/RvWJGYhphb $T $TWX by @Hadas_Gold
Tue Jun 12 20:49:33 +0000 2018,"AT&amp;T prevails in Time Warner merger trial, with... $T $TWX $FOX $FOXA $DIS $CMCSA $SKYAY $T $TWX $CMCSA $DIS https://t.co/4dbR3x3YDU"
Tue Jun 12 20:49:18 +0000 2018,RT @trading_mz: *AT&amp;T JUDGE IMPOSES NO CONDITIONS ON TIME WARNER MERGER $TWX $T\\n\\nBoom!
Tue Jun 12 20:49:09 +0000 2018,RT @SAlphaTech: AT&amp;T prevails in Time Warner merger trial https://t.co/y8Y8wvwVPy $T $TWX $CMCSA $DIS
Tue Jun 12 20:49:07 +0000 2018,Handbook: \\u201cIf AT&amp;T Time Warner Approved\\u201d what you need to know\\n$T $TWX $FOXA $CMCSA $DIS $SKYLN\\nhttps://t.co/RaAF5kx2JJ
Tue Jun 12 20:49:05 +0000 2018,AT&amp;T / TWX is a go!  $T $TWX
Tue Jun 12 20:49:03 +0000 2018,"Woaahhh, $T Wins:  \\n\\nhttps://t.co/bf4u4zMBIu  \\n\\nUnleash the M&amp;A Dogs of War....."
Tue Jun 12 20:48:58 +0000 2018,RT @JohnEarlBurnett: Time Warner &amp; AT&amp;T #Merger Approved...(Take that ya Bum @realDonaldTrump) $T $TWX
Tue Jun 12 20:48:44 +0000 2018,"RT @CityofTwoRivers: MERGER APPROVED    $T on #Bing \\u2014 34.35 at June 12, 4:31 PM EDT. https://t.co/NoCrsy3HMf"
Tue Jun 12 20:48:34 +0000 2018,"AT&amp;T prevails in Time Warner merger trial, without conditions https://t.co/1dOfsO3jGo $T $TWX $FOX $FOXA"
Tue Jun 12 20:48:33 +0000 2018,Time Warner &amp; AT&amp;T #Merger Approved...(Take that ya Bum @realDonaldTrump) $T $TWX
Tue Jun 12 20:48:19 +0000 2018,"Judge approves the AT&amp;T $T and Time Warner $TWX deal.\\n--\\nMeanwhile, Comcast $CMCSA looks set to raise the bid for $FOXA. $DIS is sinking on market concerns of a bidding war. Disney will arguably pay \'any price\' for the Fantastic Four and other Marvel characters. https://t.co/MWtFZc0OdD"
Tue Jun 12 20:48:05 +0000 2018,"$T wow, huge new DEBT AT AT&amp;T"
Tue Jun 12 20:47:56 +0000 2018,"Wow, although I can\'t say I\'m too surprised--&gt; Judge allows AT&amp;T to acquire Time Warner, rejecting DOJ argument that merger would harm competition. Shares of Time Warner up on this, AT&amp;T down. $T $TWX https://t.co/KlAyJZaDM2"
Tue Jun 12 20:47:42 +0000 2018,"AT&amp;T prevails in Time Warner merger trial, without conditions https://t.co/SGpepox6zY $T $TWX $FOX $FOXA"
Tue Jun 12 20:47:40 +0000 2018,It\\u2019s party time. AT&amp;T\\u2019s Time Warner Takeover Wins Judge\\u2019s Approval in Defeat for Justice Dept.   via @NYTimes $twx $T  https://t.co/OwI2e0Mx2X
Tue Jun 12 20:47:37 +0000 2018,"MERGER APPROVED    $T on #Bing \\u2014 34.35 at June 12, 4:31 PM EDT. https://t.co/NoCrsy3HMf"
Tue Jun 12 20:47:20 +0000 2018,"RT @TheStreet: AT&amp;T\'s stock\\u00a0was down around 2%\\u00a0after hours after rising 0.5% during Tuesday\'s session, while Time Warner\'s stock was up alm\\u2026"
Tue Jun 12 20:47:20 +0000 2018,RT @Kamaron: AT&amp;T-Time Warner deal is approved with no conditions on the merger. \\n\\nI spoke with one analyst earlier who believes a green li\\u2026
Tue Jun 12 20:47:19 +0000 2018,"RT @Benzinga: Judge Approves AT&amp;T-Time Warner Mega Deal, Rules Against DOJ https://t.co/BfZkj8ms9C $T $TWX $VZ $TMUS $S $CMCSA $DIS $FOXA"
Tue Jun 12 20:47:18 +0000 2018,#BREAKING: Judge rules for AT&amp;T in landmark merger with Time Warner: https://t.co/xnqgjbxKez $T $TWX
Tue Jun 12 20:47:09 +0000 2018,#BREAKING Federal court approves AT&amp;T\'s merger with Time Warner #mergers $t $twx https://t.co/umRAdipTqp
Tue Jun 12 20:47:03 +0000 2018,"$T $TWX AT&amp;T wins approval to buy Time Warner, no conditions applied to the deal!"
Tue Jun 12 20:46:55 +0000 2018,RT @cfromhertz: *AT&amp;T WINS ANTITRUST RULING ALLOWING TAKEOVER OF TIME WARNER $T $TWX
Tue Jun 12 20:46:26 +0000 2018,RT @ACInvestorBlog: $T  $TWX AT&amp;T wins court approval to buy Time Warner - Reuters
Tue Jun 12 20:46:21 +0000 2018,Judge Backs AT&amp;T $T in Fight with DOJ Over Time Warner $TWX Merger
Tue Jun 12 20:46:02 +0000 2018,"AT&amp;T\'s stock\\u00a0was down around 2%\\u00a0after hours after rising 0.5% during Tuesday\'s session, while Time Warner\'s stock was up almost 5% after-hours after trading flat during the day. $T $TWX  https://t.co/GotpZNJDm6"
Tue Jun 12 20:45:59 +0000 2018,RT @Street_Insider: Judge Backs AT&amp;T $T in Fight with DOJ Over Time Warner $TWX Merger
Tue Jun 12 20:45:54 +0000 2018,RT @Guruleaks1: AT&amp;T prevails in Time Warner merger trial\\n$T $TWX
Tue Jun 12 20:45:47 +0000 2018,"Judge Approves AT&amp;T-Time Warner Mega Deal, Rules Against DOJ https://t.co/BfZkj8ms9C $T $TWX $VZ $TMUS $S $CMCSA $DIS $FOXA"
Tue Jun 12 20:45:40 +0000 2018,$T shareholders applauding AT&amp;T victory by selling the stock off 3%.
Tue Jun 12 20:45:36 +0000 2018,"RT @DrDavidKass: Judge approves AT&amp;T\'s merger with Time Warner,  https://t.co/RyTmWQ5AeG $T $TWX"
Tue Jun 12 20:45:33 +0000 2018,Judge clears the way for AT&amp;T takeover of Time Warner with no conditions https://t.co/qCiX0XpcWh $TWX $T
Tue Jun 12 20:45:23 +0000 2018,"RT @ppeeryw: Judge Approves AT&amp;T-Time Warner Mega Deal, Rules Against DOJ $T #Profesty"
Tue Jun 12 20:45:14 +0000 2018,"AT&amp;T can complete its massive #merger with Time Warner, judge rules $T\\n\\nhttps://t.co/VmfsTgiiCX https://t.co/hpe8oW6mUj"
Tue Jun 12 20:45:10 +0000 2018,RT @Street_Insider: Judge Backs AT&amp;T $T in Fight with DOJ Over Time Warner $TWX Merger
Tue Jun 12 20:45:10 +0000 2018,"Judge approves AT&amp;T\'s merger with Time Warner,  https://t.co/RyTmWQ5AeG $T $TWX"
Tue Jun 12 20:45:07 +0000 2018,"AT&amp;T-Time Warner deal is approved with no conditions on the merger. \\n\\nI spoke with one analyst earlier who believes a green light for AT&amp;T-Time Warner, means a Comcast deal will come by end of the week. $T $TWX $CMCSA $FOXA"
Tue Jun 12 20:44:59 +0000 2018,"Judge Approves AT&amp;T-Time Warner Mega Deal, Rules Against DOJ $T #Profesty"
Tue Jun 12 20:44:56 +0000 2018,*AT&amp;T JUDGE SAYS HE WOULD DENY STAY IF REQUESTED BY DOJ $T $TWX yikes
Tue Jun 12 20:44:31 +0000 2018,$T Market makers at their best https://t.co/cg95qDok1q
Tue Jun 12 20:44:30 +0000 2018,"RT @Benzinga: AT&amp;T wins approval to buy Time Warner, no conditions applied to the deal. Time Warner shares spike after hours\\n\\n$T $TWX \\n\\nSha\\u2026"
Tue Jun 12 20:44:26 +0000 2018,RT @rorol: Washington caps fans pass by as camera crews await Judge Leon\\u2019s verdict on AT&amp;T- Time Warner $T- $TWX @TheStreet https://t.co/83\\u2026
Tue Jun 12 20:44:22 +0000 2018,"RT @Benzinga: AT&amp;T wins approval to buy Time Warner, no conditions applied to the deal. Time Warner shares spike after hours\\n\\n$T $TWX \\n\\nSha\\u2026"
Tue Jun 12 20:44:16 +0000 2018,RT @SaqibReports: AT&amp;T INC WINS U.S. COURT APPROVAL TO BUY TIME WARNER INC FOR $85 BILLION - @Reuters $T $TWX
Tue Jun 12 20:44:08 +0000 2018,$T $TWX Federal judge clears AT&amp;T\'s bid for Time Warner https://t.co/O44WDdMvBx
Tue Jun 12 20:44:01 +0000 2018,Federal judge clears AT&amp;T\'s bid for Time Warner https://t.co/8VcZxF6Jhe\\n$T $TWX #Approved #NoConditions
Tue Jun 12 20:44:01 +0000 2018,RT @PipsToDollars: BREAKING: AT T -TIME WARNER deal approved.\\n$twx $t
Tue Jun 12 20:43:36 +0000 2018,AT&amp;T Wins Antitrust Ruling Allowing Takeover of Time Warner $T $TWX https://t.co/RX7HD8UTTK
Tue Jun 12 20:43:28 +0000 2018,"AT&amp;T wins approval to buy Time Warner, no conditions applied to the deal. Time Warner shares spike after hours\\n\\n$T $TWX \\n\\nShares of Fox, currently the m&amp;a target of Disney (and Comcast, rumor has it), also move higher on the news\\n\\n$FOX $FOXA $DIS"
Tue Jun 12 20:43:17 +0000 2018,BREAKING: AT T -TIME WARNER deal approved.\\n$twx $t
Tue Jun 12 20:42:52 +0000 2018,RT @trading_mz: *AT&amp;T JUDGE IMPOSES NO CONDITIONS ON TIME WARNER MERGER $TWX $T\\n\\nBoom!
Tue Jun 12 20:42:31 +0000 2018,Federal judge clears AT&amp;T\'s bid for Time Warner $T https://t.co/hjzpt02gQO
Tue Jun 12 20:42:18 +0000 2018,RT @trading_mz: *AT&amp;T JUDGE IMPOSES NO CONDITIONS ON TIME WARNER MERGER $TWX $T\\n\\nBoom!
Tue Jun 12 20:42:17 +0000 2018,RT @cfromhertz: *AT&amp;T WINS ANTITRUST RULING ALLOWING TAKEOVER OF TIME WARNER $T $TWX
Tue Jun 12 20:42:16 +0000 2018,RT @Guruleaks1: AT&amp;T prevails in Time Warner merger trial\\n$T $TWX
Tue Jun 12 20:42:07 +0000 2018,AT&amp;T Wins US Court Approval To Purchase Time Warner $S $T #Profesty
Tue Jun 12 20:42:03 +0000 2018,$T $TWX Federal judge clears AT&amp;T\'s bid for Time Warner https://t.co/5CdiC0YADv
Tue Jun 12 20:42:03 +0000 2018,RT @ACInvestorBlog: $T  $TWX AT&amp;T wins court approval to buy Time Warner - Reuters
Tue Jun 12 20:42:00 +0000 2018,AT&amp;T INC WINS U.S. COURT APPROVAL TO BUY TIME WARNER INC FOR $85 BILLION - @Reuters $T $TWX
Tue Jun 12 20:41:55 +0000 2018,RT @MarketCurrents: AT&amp;T prevails in Time Warner merger trial https://t.co/TjjIlvPyCu $T $TWX $CMCSA $DIS
Tue Jun 12 20:41:48 +0000 2018,*AT&amp;T JUDGE IMPOSES NO CONDITIONS ON TIME WARNER MERGER $TWX $T\\n\\nBoom!
Tue Jun 12 20:41:47 +0000 2018,AT&amp;T prevails in Time Warner merger trial\\n$T $TWX
Tue Jun 12 20:41:38 +0000 2018,AT&amp;T Wins US Court Approval To Purchase Time Warner $T $TWX https://t.co/HqiWHLxlVT
Tue Jun 12 20:41:18 +0000 2018,Judge Backs AT&amp;T $T in Fight with DOJ Over Time Warner $TWX Merger
Tue Jun 12 20:41:12 +0000 2018,*AT&amp;T WINS ANTITRUST RULING ALLOWING TAKEOVER OF TIME WARNER $T $TWX
Tue Jun 12 20:41:09 +0000 2018,RT @ACInvestorBlog: $T  $TWX AT&amp;T wins court approval to buy Time Warner - Reuters
Tue Jun 12 20:40:59 +0000 2018,$T  $TWX AT&amp;T wins court approval to buy Time Warner - Reuters
Tue Jun 12 20:40:52 +0000 2018,AT&amp;T prevails in Time Warner merger trial https://t.co/y8Y8wvwVPy $T $TWX $CMCSA $DIS
Tue Jun 12 20:40:52 +0000 2018,AT&amp;T prevails in Time Warner merger trial https://t.co/TjjIlvPyCu $T $TWX $CMCSA $DIS
Tue Jun 12 20:40:42 +0000 2018,AT&amp;T INC  T.N WINS U.S. COURT APPROVAL TO BUY TIME WARNER INC  TWX.N FOR $85 BILLION\\n\\n$T $TWX
Tue Jun 12 20:40:31 +0000 2018,*AT&amp;T WINS ANTITRUST RULING ALLOWING TAKEOVER OF TIME WARNER\\n$TWX $T
Tue Jun 12 20:36:30 +0000 2018,"RT @stephenfoley: The Schrodinger\'s cat of M&amp;A. As a judge hands down his antitrust ruling in a sealed courtroom, is the AT&amp;T-Time Warner d\\u2026"
Tue Jun 12 20:33:01 +0000 2018,$TWX $T BTIG\'s Greenfield Says AT&amp;T -Dish Merger Would Be \'Healthy\' via https://t.co/jURZDymPXI
Tue Jun 12 20:32:58 +0000 2018,"RT @stephenfoley: The Schrodinger\'s cat of M&amp;A. As a judge hands down his antitrust ruling in a sealed courtroom, is the AT&amp;T-Time Warner d\\u2026"
Tue Jun 12 20:32:47 +0000 2018,"RT @stephenfoley: The Schrodinger\'s cat of M&amp;A. As a judge hands down his antitrust ruling in a sealed courtroom, is the AT&amp;T-Time Warner d\\u2026"
Tue Jun 12 20:32:31 +0000 2018,"RT @stephenfoley: The Schrodinger\'s cat of M&amp;A. As a judge hands down his antitrust ruling in a sealed courtroom, is the AT&amp;T-Time Warner d\\u2026"
Tue Jun 12 20:32:00 +0000 2018,"RT @stephenfoley: The Schrodinger\'s cat of M&amp;A. As a judge hands down his antitrust ruling in a sealed courtroom, is the AT&amp;T-Time Warner d\\u2026"
Tue Jun 12 20:31:42 +0000 2018,"RT @stephenfoley: The Schrodinger\'s cat of M&amp;A. As a judge hands down his antitrust ruling in a sealed courtroom, is the AT&amp;T-Time Warner d\\u2026"
Tue Jun 12 20:30:07 +0000 2018,"The Schrodinger\'s cat of M&amp;A. As a judge hands down his antitrust ruling in a sealed courtroom, is the AT&amp;T-Time Warner deal both alive and dead? https://t.co/JaHtRfi92h $T $TWX"
Tue Jun 12 20:28:25 +0000 2018,"RT @carney: While you wait for the $T AT&amp;T Time Warner decision, feel free to read the piece I wrote about the case when it was first filed\\u2026"
Tue Jun 12 20:27:41 +0000 2018,RT @DCtechwire: $T $TWX #merger decision within the hour. Huge crowd at courthouse. Full coverage https://t.co/6W0iwQsnwD https://t.co/126r\\u2026
Tue Jun 12 20:27:35 +0000 2018,RT @RichBTIG: now playing at BTIG \\ud83c\\udfa7 \\
Tue Jun 12 20:27:08 +0000 2018,"While you wait for the $T AT&amp;T Time Warner decision, feel free to read the piece I wrote about the case when it was first filed its case in November 2017. https://t.co/4auVWr8lVU https://t.co/qb5iHAF3oB"
Tue Jun 12 20:24:44 +0000 2018,"AT&amp;T/Time Warner decision upcoming, with far-reaching ripples $T $TWX $DIS $FOX $FOXA $CMCSA $SKYAY https://t.co/VZYNlNb7Xa"
Tue Jun 12 20:24:25 +0000 2018,RT @DCtechwire: Tension in air at DC courthouse as world awaits $T $TWX merger decision. Full coverage on https://t.co/6W0iwQsnwD @the deal\\u2026
Tue Jun 12 20:22:54 +0000 2018,"RT @JorelLaraKalel: AT&amp;T/Time Warner decision upcoming, with far-reaching ripples https://t.co/emVR6qRld7 $T $TWX $CMCSA $DIS $FOXA $SKYAY\\u2026"
Tue Jun 12 20:22:44 +0000 2018,$T FINDS BUYERS AT KEY SUPPORT LEVEL: https://t.co/dmoLXX9zxb\\nSentiment: Neutral #T #AT&amp;T
Tue Jun 12 20:21:38 +0000 2018,RT @RichBTIG: now playing at BTIG \\ud83c\\udfa7 \\
Tue Jun 12 20:20:44 +0000 2018,"RT @ScottGamm: Since the AT&amp;T-Time Warner deal was announced on October 22, 2016...\\n\\nAT&amp;T shares are down over 8%\\nTime Warner shares are up\\u2026"
Tue Jun 12 20:20:16 +0000 2018,now playing at BTIG \\ud83c\\udfa7 \\
Tue Jun 12 20:20:14 +0000 2018,I just sent #BUY +XXXX $T at @34.45 LMT EXT #orders @TDAmeritrade
Tue Jun 12 20:13:15 +0000 2018,"RT @JorelLaraKalel: AT&amp;T/Time Warner decision upcoming, with far-reaching ripples https://t.co/emVR6qRld7 $T $TWX $CMCSA $DIS $FOXA $SKYAY\\u2026"
Tue Jun 12 20:10:28 +0000 2018,RT @taralach: It\'s AT&amp;T-Time Warner merger decision day\\ud83d\\udc68\\u200d\\u2696\\ufe0f Here\'s what you probably should be thinking about $TWX $T
Tue Jun 12 20:09:56 +0000 2018,$t what I care about the most is that if this deal is approved that it\\u2019s good for the company which  means I\\u2019ll continue to get all my benefits that I have now  as an retired AT&amp;T manager
Tue Jun 12 20:09:39 +0000 2018,"AT&amp;T/Time Warner decision upcoming, with far-reaching ripples https://t.co/5JeQJminuP $T $TWX $DIS $FOX"
Tue Jun 12 20:06:57 +0000 2018,RT @DCtechwire: $T $TWX #merger decision within the hour. Huge crowd at courthouse. Full coverage https://t.co/6W0iwQsnwD https://t.co/126r\\u2026
Tue Jun 12 20:05:54 +0000 2018,"RT @ScottGamm: Since the AT&amp;T-Time Warner deal was announced on October 22, 2016...\\n\\nAT&amp;T shares are down over 8%\\nTime Warner shares are up\\u2026"
