Fri Jun 08 23:48:12 +0000 2018,"Walmart Inc $WMT Insider Sells $464,202.60 in Stock https://t.co/vRTTbvLcrF"
Fri Jun 08 16:19:35 +0000 2018,Sheryl Sandberg uses Facebook\'s woes as lesson for MIT grads $FB #FB #Technology #Graduation #Education https://t.co/1i1D6Wn4HG
Fri Jun 08 16:19:29 +0000 2018,Sheryl Sandberg uses Facebook\'s woes as lesson for MIT grads $FB #FB #Technology #Graduation #Education https://t.co/deffxfdSNo
Fri Jun 08 16:12:06 +0000 2018,RT @TerenaBell: Facebook wants to use #AI to connect to your brain waves. Learn more in my latest for @CIOonline: https://t.co/LTLwkwl6vb #\\u2026
Fri Jun 08 16:06:47 +0000 2018,Facebook Inc $FB Stock Gaining Unusual Volume https://t.co/n8XuJIbsOc https://t.co/6RBszIYbXi
Fri Jun 08 16:05:27 +0000 2018,"Nolte: Mark Zuckerberg\'s Fatal Error -- Not Leaving Everyone the Hell Alone \\n#FB #DeleteFaceBook #stocks #markets #Stockmarket $FB #spybook #databreach #privacy gone #Facebook treason , facial Recognition heist of century! #FacebookLive gitmo #QAnon \\ud83d\\udc47 https://t.co/yMLBNax3a4"
Fri Jun 08 16:04:00 +0000 2018,RT @TerenaBell: Facebook wants to use #AI to connect to your brain waves. Learn more in my latest for @CIOonline: https://t.co/LTLwkwl6vb #\\u2026
Fri Jun 08 16:01:19 +0000 2018,"@sarafischer @ceverson Albeit, there have been some ups and downs, the market often overlooks that Facebook has emerged as the world\'s largest social network, shaping how we socialize, communicate, and get our news. $FB is still learning and growing as a company, and is headed in the right direction."
Fri Jun 08 16:01:05 +0000 2018,The gifts that keep on giving: sovereign (aka not owned by Facebook) social media giants $SNAP + $TWTR. $FB too much like $MSFT was in 90s.
Fri Jun 08 16:01:00 +0000 2018,Facebook wants to use #AI to connect to your brain waves. Learn more in my latest for @CIOonline: https://t.co/LTLwkwl6vb #wearables $FB
Fri Jun 08 16:00:23 +0000 2018,RT @YahooFinance: Facebook\'s Sheryl Sandberg: You have to know when to stop a bad idea $FB https://t.co/Am18OOk7dj https://t.co/e2lcwSSZhJ
Fri Jun 08 15:52:52 +0000 2018,"I agree with the #beta bloke, $FB users are all \'dumb f***s\' for handing over personal info  \\n \\nhttps://t.co/3uVlbIX95q https://t.co/K6LrNdcRx5"
Fri Jun 08 15:50:52 +0000 2018,"Mark Zuckerberg apologizes for Facebook data scandal, \'major breach of trust\' \\nonly bcuz u got caught!! #FB #DeleteFaceBook #stocks #markets #Stockmarket $FB #spybook #databreach #privacy gone #Facebook #FacebookLive the jig is UP! #MAGA #QAnon\\ud83d\\udc47#TickTock https://t.co/vUtoZU43gM"
Fri Jun 08 15:43:32 +0000 2018,"Facebook, Inc. Common Stock $FB Upgraded at OTR Global https://t.co/1C2S49qTSM"
Fri Jun 08 15:37:20 +0000 2018,$FB Is Headed Higher -- Ignore the Macro Headline Noise  https://t.co/s9G0g9lkx2
Fri Jun 08 15:29:31 +0000 2018,Rep. Keith Ellison Calls For A Breakup Of Facebook https://t.co/G0biKs79bv via @moguldom\\n\\n$FB $TWTR $GOOG
Fri Jun 08 15:26:31 +0000 2018,$FB Facebook Is Feeling the Pinch of Platform Bugs https://t.co/Nuk0W5PfIb
Fri Jun 08 15:26:20 +0000 2018,$FB An anti-Facebook group is trolling Sheryl Sandberg with a full-page newspaper ad calling for a break-up of the company https://t.co/ipcLZVWjaV
Fri Jun 08 15:20:23 +0000 2018,RT @YahooFinance: Facebook\'s Sheryl Sandberg: You have to know when to stop a bad idea $FB https://t.co/Am18OOk7dj https://t.co/e2lcwSSZhJ
Fri Jun 08 15:17:52 +0000 2018,Facebook Is Not Fully Complying with Washington State\'s New Disclosure Rules (But Will Continue Selling Local Political Ads) https://t.co/sxJ9kxzyZq $FB
Fri Jun 08 15:16:46 +0000 2018,"RT @presiamapp: DID YOU KNOW: $FB - Facebook entered into a data-sharing agreement with Huawei, a Chinese firm flagged as a national securi\\u2026"
Fri Jun 08 15:15:16 +0000 2018,RT @YahooFinance: Facebook\'s Sheryl Sandberg: You have to know when to stop a bad idea $FB https://t.co/Am18OOk7dj https://t.co/e2lcwSSZhJ
Fri Jun 08 15:14:18 +0000 2018,$FB you really have to wonder if the past earnings were in fact ad revenue or Facebook selling our information to 3rd parties.
Fri Jun 08 15:14:16 +0000 2018,Facebook\'s Sheryl Sandberg: You have to know when to stop a bad idea $FB https://t.co/Am18OOk7dj https://t.co/e2lcwSSZhJ
Fri Jun 08 15:02:23 +0000 2018,RT @crabbermike: $FUSZ Must watch #Investors #Shareholder #Investing New Top Dog bringin #Sales #CustomerEngagement 2 @Oracle @NetSuite @ma\\u2026
Fri Jun 08 14:59:28 +0000 2018,RT @businessinsider: Facebook says it accidentally let anybody read private posts from 14 million users $FB https://t.co/RY9taFN7Vn
Fri Jun 08 14:59:00 +0000 2018,"As Facebook $FB Shares Declined, Boulegeris Investments Has Trimmed Its Stake by $396,705; Ironsides Asset Advisors Cut Its Position in Tyson Foods $TSN by $805,555 as Market Value Declined https://t.co/8rrwlMN87L"
Fri Jun 08 14:57:18 +0000 2018,RT @LauraEWeiss16: .@facebook non-insider investors want it to give stockholders equal voting power. 21% backed \\
Fri Jun 08 14:53:12 +0000 2018,WATCH Now: Facebook\'s Sheryl Sandberg delivers MIT commencement speech $FB https://t.co/Am18OOk7dj https://t.co/w0XEzcbTZs
Fri Jun 08 14:49:10 +0000 2018,Note that $FB contributed thousands to Rubio\'s failed presidential bid. Is ZTE bad? Absolutely and the fine/monitoring is warranted. But Facebook enables this. He\'ll act tough toward ZTE but never actually take action against Facebook. https://t.co/xRKkXg1J6r
Fri Jun 08 14:44:27 +0000 2018,"$FB Facebook has not taken the Cambridge Analytics, ZTE privacy issues seriously enough and now https://t.co/m6Eye0a4xk You were warned ! https://t.co/r6LnhEQAKc"
Fri Jun 08 14:33:08 +0000 2018,.@facebook non-insider investors want it to give stockholders equal voting power. 21% backed \\
Fri Jun 08 14:22:21 +0000 2018,$FB is hiring for a \\
Fri Jun 08 14:21:20 +0000 2018,RT @SusanLiTV: $fb #Facebook -3% this week as Nasdaq hits record! 14 million users private posts may have been made public for 10 days in M\\u2026
Fri Jun 08 14:10:56 +0000 2018,"As Sandberg set to speak shortly see what her *own former employees* have to say about her, Zuckerberg &amp; @facebook $fb #MIT2018"
Fri Jun 08 14:05:02 +0000 2018,Facebook\'s Sheryl Sandberg delivers MIT commencement speech $FB https://t.co/Am18OOk7dj https://t.co/xrJVkvx1hS
Fri Jun 08 13:51:05 +0000 2018,"RT @presiamapp: DID YOU KNOW: $FB - Facebook entered into a data-sharing agreement with Huawei, a Chinese firm flagged as a national securi\\u2026"
Fri Jun 08 13:50:59 +0000 2018,$fb #Facebook -3% this week as Nasdaq hits record! 14 million users private posts may have been made public for 10 days in May owing to a software glitch! $yum #tacobell testing \\
Fri Jun 08 13:46:35 +0000 2018,"Facebook, Inc. Common Stock $FB Upgraded at OTR Global https://t.co/XSo1WKsdr6"
Fri Jun 08 13:40:35 +0000 2018,#Facebook pledges to train a million small business owners $FB - https://t.co/t3dscnt0Yq
Fri Jun 08 13:39:48 +0000 2018,"RT @WSJMoneyBeat: Friday\'s Stocks to Watch include $VZ, $FB, $AVGO, $AAPL and more:\\nhttps://t.co/4Ia4HYOmqw"
Fri Jun 08 13:38:24 +0000 2018,RT @crabbermike: $FUSZ Must watch #Investors #Shareholder #Investing New Top Dog bringin #Sales #CustomerEngagement 2 @Oracle @NetSuite @ma\\u2026
Fri Jun 08 13:34:06 +0000 2018,#Facebook acting weird... did you see that 5 minute candle? $FB
Fri Jun 08 13:33:28 +0000 2018,More bad news for our friends at #Facebook - and everyone who uses it. https://t.co/sFHCvSVlzr via @businessinsider $FB #TechNews #privacy #socialmedia
Fri Jun 08 13:28:37 +0000 2018,Facebook negative publicity is non stop. Hasn\\u2019t mattered yet. $FB. I liken it to tobacco stocks of the past. Money machine despite negative publicity.
Fri Jun 08 13:27:38 +0000 2018,"RT @tpiwholesale: Oh, it. just. keeps. going.. how much more?\\n#CongressBook #FB #DeleteFaceBook #stocks #markets #Stockmarket $FB #spybook\\u2026"
Fri Jun 08 13:27:37 +0000 2018,#Fakebook #GoogleGestapo #Censorship #Racketeering #CharityFraud\\u00a0https://t.co/P9IzBMfJ9v\\u00a0$AMZN $GOOGL $TWTR $FB https://t.co/8F4pnCxi3v
Fri Jun 08 13:27:20 +0000 2018,RT WSJMoneyBeat \\
Fri Jun 08 13:25:05 +0000 2018,"Friday\'s Stocks to Watch include $VZ, $FB, $AVGO, $AAPL and more:\\nhttps://t.co/4Ia4HYOmqw"
Fri Jun 08 13:17:10 +0000 2018,RT @crabbermike: $FUSZ Must watch #Investors #Shareholder #Investing New Top Dog bringin #Sales #CustomerEngagement 2 @Oracle @NetSuite @ma\\u2026
Fri Jun 08 13:16:15 +0000 2018,$FUSZ Must watch #Investors #Shareholder #Investing New Top Dog bringin #Sales #CustomerEngagement 2 @Oracle @NetSuite @marketo &amp; Other Top #CRM Co\'s https://t.co/2VffeRdnfI  #Salesforce #facebook #DigitalMarketing #Marketing #Businesses $CRM $FB $SAP $GOOGL $MSFT $AMZN #SaaS #AI
Fri Jun 08 13:13:15 +0000 2018,Apple is going to war with Facebook\'s web trackers $AAPL $FB https://t.co/uPJNatlT6Z https://t.co/wiQnK6rGoE
Fri Jun 08 13:10:54 +0000 2018,"G-7, Apple, Ant Financial and Facebook - 5 Things You Must Know https://t.co/JvKBoBufl8 $AAPL $BABA $FB $SPY $QQQ $DJIA"
Fri Jun 08 13:03:29 +0000 2018,RT @businessinsider: Facebook says it accidentally let anybody read private posts from 14 million users $FB https://t.co/RY9taFN7Vn
Fri Jun 08 12:51:05 +0000 2018,"Quadrants: \\u201cThe challenges the News Feed team faces are complex, but it\\u2019s critical that people outside the company understand what we\\u2019re doing and why.\\"
Fri Jun 08 12:40:59 +0000 2018,"RT @ModernWallSt: Before the OPEN, See How the Mkts CLOSED | Closing Bell Happy Hour 6/7 | @g7 Countdown, US &amp; @ZTEPress reach deal &amp; @face\\u2026"
Fri Jun 08 12:38:19 +0000 2018,"Before the OPEN, See How the Mkts CLOSED | Closing Bell Happy Hour 6/7 | @g7 Countdown, US &amp; @ZTEPress reach deal &amp; @facebook dive continues $FB [VIDEO] https://t.co/M3veSBk34u https://t.co/UdE38tMb4n"
Fri Jun 08 12:33:11 +0000 2018,RT @OpenOutcrier: $FB (-0.7% pre) Facebook bug exposed private posts of up to 14 million users\\n\\nhttps://t.co/dQwVqai3m2
Fri Jun 08 12:32:23 +0000 2018,RT @OpenOutcrier: $FB (-0.7% pre) Facebook bug exposed private posts of up to 14 million users\\n\\nhttps://t.co/dQwVqai3m2
Fri Jun 08 12:32:22 +0000 2018,$FB (-0.7% pre) Facebook bug exposed private posts of up to 14 million users\\n\\nhttps://t.co/dQwVqai3m2
Fri Jun 08 12:09:43 +0000 2018,RT @Hotpage_News: #Facebook\'s confession about a bug that affected 14 million people signals a seismic shift inside the company $FB - https\\u2026
Fri Jun 08 12:09:18 +0000 2018,RT @Hotpage_News: #Facebook\'s confession about a bug that affected 14 million people signals a seismic shift inside the company $FB - https\\u2026
Fri Jun 08 12:07:23 +0000 2018,#Facebook\'s confession about a bug that affected 14 million people signals a seismic shift inside the company $FB - https://t.co/ttTBXd5Rpk
Fri Jun 08 12:06:13 +0000 2018,Scared by #Facebook? Wait Till Millennials Are Selling Their Data $FB - https://t.co/qoUVNZNMPM
Fri Jun 08 12:02:49 +0000 2018,FACEBOOK $FB https://t.co/c7hAUolEww
Fri Jun 08 12:02:27 +0000 2018,Not accurate\\n$FB #FacebookPrivacy \\nhttps://t.co/O1lLZqo6GX https://t.co/TqtSHp9P8K
Fri Jun 08 11:58:01 +0000 2018,"$FB remains committed to Watch, but are you?  https://t.co/5fsQkWM09u"
Fri Jun 08 11:27:22 +0000 2018,"RT @presiamapp: DID YOU KNOW: $FB - Facebook entered into a data-sharing agreement with Huawei, a Chinese firm flagged as a national securi\\u2026"
Fri Jun 08 11:16:48 +0000 2018,"markfidelman : Just a few years ago, BarronsOnline believed Facebook $FB was only worth $15 - Boy were they wrong https://t.co/Ga26VMk0j8 (via Twitter https://t.co/u0SRwXkJHo) https://t.co/by938HgvPR"
Fri Jun 08 11:10:45 +0000 2018,"Mark Zuckerberg, the CEO of Facebook, called his first few thousand users as \\"
Fri Jun 08 11:09:36 +0000 2018,RT @businessinsider: Facebook is hiring \'news credibility specialists\' \\u2014 after saying it didn\'t want to be in the business of judging news\\u2026
Fri Jun 08 11:09:12 +0000 2018,Reason #14 million to Delete Your Facebook (and start a class action suit):  @Facebook bug set 14 million users\' sharing settings to public. #DeleteFacebook\\n\\nhttps://t.co/irdY5ebGdi $fb #privacy
Fri Jun 08 10:34:28 +0000 2018,Latest $FB scandal involves a \\
Fri Jun 08 10:23:55 +0000 2018,RT @businessinsider: Facebook is hiring \'news credibility specialists\' \\u2014 after saying it didn\'t want to be in the business of judging news\\u2026
Fri Jun 08 10:21:21 +0000 2018,"$FB $NWS $NWSA Doubts Emerge About Whether Oculus Connect 5 Will Positively Impact Facebook, Inc. https://t.co/t5GrdJjU9V"
Fri Jun 08 10:21:17 +0000 2018,Facebook INC $FB Shareholder Polen Capital Management LLC Decreased Holding by $352.89 Million as Valuation Declined ...
Fri Jun 08 10:17:52 +0000 2018,RT @businessinsider: Facebook is hiring \'news credibility specialists\' \\u2014 after saying it didn\'t want to be in the business of judging news\\u2026
Fri Jun 08 09:36:14 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/SycZyrAlD9"
Fri Jun 08 09:30:18 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/9awG0TtZXr"
Fri Jun 08 09:18:00 +0000 2018,.@Facebook bug changed #privacy settings for as many as 14 million users to \\
Fri Jun 08 09:13:55 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/6vH14jkhrC"
Fri Jun 08 09:06:19 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/RdZ8sfq9uW"
Fri Jun 08 08:58:16 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/FllXUa4HJW"
Fri Jun 08 08:44:45 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/cP4ulpG9nH"
Fri Jun 08 08:26:39 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/Q5iizf7V4B"
Fri Jun 08 08:22:59 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/Ay8KzOYkQc"
Fri Jun 08 08:22:03 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/GfkzFQGSOO"
Fri Jun 08 08:19:25 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/sMcuDGyLM0"
Fri Jun 08 08:13:30 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/v4WbjaJwfN"
Fri Jun 08 08:12:01 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/fZnLRBdASJ"
Fri Jun 08 08:09:58 +0000 2018,"Mark Zuckerberg Sells 677,600 Shares of Facebook, Inc. Common Stock $FB Stock https://t.co/fqYtp5YOkk"
Fri Jun 08 08:06:36 +0000 2018,"Mark Zuckerberg Sells 237,000 Shares of Facebook, Inc. Common Stock $FB Stock https://t.co/HEqITk2H8p"
Fri Jun 08 08:03:44 +0000 2018,RT @businessinsider: Facebook is hiring \'news credibility specialists\' \\u2014 after saying it didn\'t want to be in the business of judging news\\u2026
Fri Jun 08 07:36:56 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/bOyk0S1WrZ"
Fri Jun 08 07:27:53 +0000 2018,RT @KLComms: .@Blue_Whale_AM\\u2019s Stephen Yiu discusses $FB in @FETrustnet https://t.co/DMbm28UJAa https://t.co/9vWvB8eEf3
Fri Jun 08 07:22:15 +0000 2018,"RT @tpiwholesale: Oh, That\'s Interesting.. Did you know about this? how much more?\\n#CongressBook #FB #DeleteFaceBook #Facebook #Treason, Fa\\u2026"
Fri Jun 08 07:13:38 +0000 2018,"Oh, That\'s Interesting.. Did you know about this? how much more?\\n#CongressBook #FB #DeleteFaceBook #Facebook #Treason, Facial Recognition heist of century #stocks #markets #Stockmarket $FB #spybook #databreach #privacy gone #FacebookLive #AMZN #GOOG #TWTR #MAGA @realDonaldTrump https://t.co/GT8pVrAlfv"
Fri Jun 08 07:12:41 +0000 2018,RT @businessinsider: Facebook says it accidentally let anybody read private posts from 14 million users $FB https://t.co/RY9taFN7Vn
Fri Jun 08 07:07:32 +0000 2018,RT @businessinsider: Facebook says it accidentally let anybody read private posts from 14 million users $FB https://t.co/RY9taFN7Vn
Fri Jun 08 07:04:19 +0000 2018,"$FB Doubts Emerge About Whether Oculus Connect 5 Will Positively Impact Facebook, Inc. https://t.co/PO1eZCzNtP"
Fri Jun 08 07:04:18 +0000 2018,$FB Facebook Procures Content from News Organizations for Watch https://t.co/zJ1oMxR0B3
Fri Jun 08 07:04:16 +0000 2018,"$FB Facebook Roundup: Shareholder Meet, Teen Trouble, Watch &amp; More https://t.co/HyNdfBD28Y"
Fri Jun 08 07:04:14 +0000 2018,$FB Instagram\\u2019s Long-Form Video Is a Big Deal for Facebook Inc Stock https://t.co/zHfmZTjaY9
Fri Jun 08 07:04:14 +0000 2018,$FB Facebook Inc (FB) Beefs Up Instagram Videos to Challenge Rivals https://t.co/INxuIqlXq1
Fri Jun 08 07:04:12 +0000 2018,"$FB Despite the Scandal, Facebook, Inc. Stock Is Going to $200 and Beyond https://t.co/UO63dqYntb"
Fri Jun 08 07:04:11 +0000 2018,$FB Facebook\'s Instagram Beefs Up Videos to Challenge Rivals https://t.co/U923qAqTAV
Fri Jun 08 07:04:10 +0000 2018,"$FB Better Buy: Facebook, Inc. vs. Alphabet https://t.co/2l52bqRyzC"
Fri Jun 08 07:00:11 +0000 2018,$V #SAI:RT businessinsider: Facebook says it accidentally let anybody read private posts from 14 million users $FB https://t.co/W2pgIFQApp
Fri Jun 08 06:55:08 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/KfsOMiNSRq"
Fri Jun 08 06:50:50 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/2M7Yw8T305"
Fri Jun 08 06:33:42 +0000 2018,"Traders Buy Facebook, Inc. Common Stock $FB on Weakness After Insider Selling https://t.co/hYyKouQM1p"
Fri Jun 08 06:21:20 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/wxerCmTCBF"
Fri Jun 08 06:18:33 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/KGjE4AXbEt"
Fri Jun 08 06:14:29 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/ryLfYggGlc"
Fri Jun 08 06:14:02 +0000 2018,RT @TedatACA: A Facebook Bug Switched as Many as 14 Million Users\\u2019\\u00a0Privacy Settings to \\u2018Public\\u2019 https://t.co/7S53BCpvOI $FB https://t.co/ct\\u2026
Fri Jun 08 06:12:17 +0000 2018,"RT @TedatACA: @WSJ Breaking: After Scrutinizing #Facebook, Congress Turns to #Google Deal With Huawei https://t.co/6spaNdCtr7 $FB $GOOGL ht\\u2026"
Fri Jun 08 06:10:15 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/dCnt3S6qVf"
Fri Jun 08 06:04:49 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/MBR7D5Jvdv"
Fri Jun 08 05:38:14 +0000 2018,RT @LoneCapital: Is it a warm-up before the split? $FB \\n https://t.co/2Gtn00xBpj
Fri Jun 08 05:30:05 +0000 2018,Facebook says it accidentally let anybody read posts that were supposed to be private from 14 million users  $FB  https://t.co/Wv7EPG0k6O
Fri Jun 08 05:06:50 +0000 2018,"#GoldenCross $FB at 100.00 R  HiLo -88% T1Y 220 buy 1.8 PE 31.1 DIV N/A #Facebook, https://t.co/uirGO8pO2D"
Fri Jun 08 05:03:32 +0000 2018,NYT: Facebook has data deals with four Chinese electronics companies https://t.co/aLcKjFK1lR $FB
Fri Jun 08 04:40:13 +0000 2018,$FB https://t.co/ZTIcvYqTx7 Pot. resume Uptrend in a consolid INTRAWEEK 60m-15m-4m combo chart #Facebook #Trading https://t.co/TB9kkrjwn3
Fri Jun 08 04:27:09 +0000 2018,"$FB, how Low will it go? https://t.co/C4iEhJ0g82 https://t.co/9s267QybMB"
Fri Jun 08 04:24:08 +0000 2018,Follow @mercadomagico #Mercadomagico https://t.co/gzPGOV7s8h on #Pinterest we stopped posting on $FB #Facebook #Whatssap #Instagram as #data is not safe reliable there anymore #shoplocal @mercadomagico \\u25b6 https://t.co/gzPGOV7s8h \\ud83c\\uddfa\\ud83c\\uddf8 @MercadoMagicoMX https://t.co/xClicabRmR \\ud83c\\uddf2\\ud83c\\uddfd https://t.co/FIzlUk9xhE
Fri Jun 08 04:20:26 +0000 2018,Facebook Cashes in on Conflict | The Daily Show https://t.co/lCJqT3cYRj via @YouTube #Facebook #Twitter $FB $TWTR
Fri Jun 08 04:19:03 +0000 2018,RT @EghosaO: There Is No Justification for What Zuckerberg Did to WhatsApp https://t.co/6e0LRMsmhI\\n\\
Fri Jun 08 04:11:59 +0000 2018,Facebook exec Sheryl Sandberg to address MIT graduates $FB #FB #Technology #Socialmedia #Onlinemedia https://t.co/lrKyzkql7U
Fri Jun 08 04:11:52 +0000 2018,Facebook exec Sheryl Sandberg to address MIT graduates $FB #FB #Technology #Socialmedia #Onlinemedia https://t.co/Xzr4uNJxyw
Fri Jun 08 03:16:56 +0000 2018,"RT @dondeamarco: If Facebook $FB copies everything snapchat does, what then makes snap inc a good investment. Answer these questions and yo\\u2026"
Fri Jun 08 03:12:14 +0000 2018,RT @DDRANTE: @nFuszInc $FUSZ\\nU want to really Think out of the #Box? \\nPartner with  #nFUSZ \\nhttps://t.co/BrST2XnsBS @CNBC\\nBreakthrough Tech\\u2026
Fri Jun 08 03:11:34 +0000 2018,U TREASONOUS PRICK U\'RE GOING TO JAIL #ZUCK \\n#CongressBook #FB #DeleteFaceBook #stocks #markets #Stockmarket $FB #spybook #databreach #privacy gone #Facebook treason #FacebookLive Facial Recognition heist of century #stocksmarket #GreatAwakening #MAGA Gitmo #IBOR @realDonaldTrump
Fri Jun 08 03:02:22 +0000 2018,RT @businessinsider: Facebook says it accidentally let anybody read private posts from 14 million users $FB https://t.co/RY9taFN7Vn
Fri Jun 08 02:59:12 +0000 2018,$FB Facebook Admits Bug Made Some Posts Erroneously Public https://t.co/LemFqgWqY1
Fri Jun 08 02:45:14 +0000 2018,Facebook Bug Switched as Many as 14 Million Users\\u2019\\u00a0Privacy Settings to \\u2018Public\\u2019 https://t.co/7gtZD3UIch via @technology  $FB $GOOGL $TWTR
Fri Jun 08 02:34:15 +0000 2018,RT @LibertyRPF: \\
Fri Jun 08 02:28:49 +0000 2018,\\
Fri Jun 08 02:12:55 +0000 2018,Kind of important to get this straight media peeps\\n$FB #FacebookPrivacy https://t.co/oNnbpjwVeE
Fri Jun 08 02:05:16 +0000 2018,"markfidelman : Just a few years ago, BarronsOnline believed Facebook $FB was only worth $15 - Boy were they wrong https://t.co/iD1PHiDgbF (via Twitter https://t.co/kFiGCVE3am) https://t.co/CqIJWIv0lm"
Fri Jun 08 01:55:10 +0000 2018,"Just a few years ago, @BarronsOnline believed Facebook $FB was only worth $15 - Boy were they wrong https://t.co/bSqXjFdAfP"
Fri Jun 08 01:43:26 +0000 2018,RT @NOD008: FACEBOOK IS SAID TO HIRE NEWS CREDIBILITY EXPERTS: BUSINESS INSIDER\\n$FB https://t.co/ot0xPNdKn1
Fri Jun 08 01:36:55 +0000 2018,"#Netflix, #Amazon, #Facebook, #AMD, #Intel, #Skyworks, and #Gilead https://t.co/iyhD5UNMtC via @jay110429 $NFLX $AMZN $FB $AMD $INTC $SWKS $GILD"
Fri Jun 08 01:32:06 +0000 2018,@jimcramer @jimcramer you know better...it\\u2019s owned by Facebook ..what makes you think they are doing anything different? #samepig #cnbc $fb
Fri Jun 08 01:24:37 +0000 2018,"RT @themotleyfool: If you follow the Motley Fool on Twitter, you\\u2019re probably a mature adult. You also probably still check Facebook regular\\u2026"
Fri Jun 08 01:18:43 +0000 2018,Facebook says privacy-setting bug affected as many as 14M $FB #FB #Technology #Dataprivacy #Technologyissues https://t.co/llVBw3hO1z
Fri Jun 08 01:18:40 +0000 2018,Facebook says privacy-setting bug affected as many as 14M $FB #FB #Technology #Dataprivacy #Technologyissues https://t.co/us1wSYGjAc
Fri Jun 08 01:16:23 +0000 2018,Senate panel to ask Facebook new questions after latest data report https://t.co/E1Ov5C3bYY $FB
Fri Jun 08 01:10:04 +0000 2018,"via jimcramer: that\'s it. i am done with Facebook. I am going to Instagram.  To heck with Z man, i am making a statement! https://t.co/nzU0MOD2us $fb"
Fri Jun 08 01:07:53 +0000 2018,Recode: Facebook bug exposed private posts of up to 14M https://t.co/LFgx0eCnFK $FB
Fri Jun 08 00:58:15 +0000 2018,RT @DDRANTE: @nFuszInc $FUSZ\\nU want to really Think out of the #Box? \\nPartner with  #nFUSZ \\nhttps://t.co/BrST2XnsBS @CNBC\\nBreakthrough Tech\\u2026
Fri Jun 08 00:55:41 +0000 2018,"RT @mppaolucci: 2018 Privacy Scandals: $fb 4, $twtr 0. Seeing clear separation here, despite what clueless @CitronResearch says. https://t.\\u2026"
Fri Jun 08 00:54:16 +0000 2018,@jimcramer @EricJhonsa Definitely want to focus on something other than all the privacy concerns everyone should have using Facebook! $FB $QQQ
Fri Jun 08 00:41:14 +0000 2018,@nFuszInc $FUSZ\\nU want to really Think out of the #Box? \\nPartner with  #nFUSZ \\nhttps://t.co/BrST2XnsBS @CNBC\\nBreakthrough Technology \\nInteractive Video Technology \\nEffective Customer Engagement Platform \\n#notifiADS #notifiTV will be huge for #facebook $FB\\nhttps://t.co/be4wvd7y2g https://t.co/yfCdNbZe9J
Fri Jun 08 00:26:41 +0000 2018,RT @larimer: UPDATE: I checked my $FB Ad Prefs and found new alcohol themed \\u201cinterests\\u201d had been added. Once I removed these the ads stoppe\\u2026
Fri Jun 08 00:26:10 +0000 2018,$FB The Wall Street Journal: Facebook admits bug made some posts erroneously public last month https://t.co/pH1TWo3jnK
