Wed Jun 13 23:24:12 +0000 2018,"Walmart Inc $WMT Director Sells $92,971,098.88 in Stock https://t.co/Vb3RlI4PLe #stocks"
Wed Jun 13 13:13:56 +0000 2018,"RT @TSTRealMoney: The AT&amp;T $T / Time Warner $TWX ruling is a nuclear blast at the Justice Department, says @jimcramer https://t.co/mFSZInyY\\u2026"
Wed Jun 13 13:12:50 +0000 2018,"The AT&amp;T $T / Time Warner $TWX ruling is a nuclear blast at the Justice Department, says @jimcramer https://t.co/mFSZInyYkK https://t.co/vVvT7aan8T"
Wed Jun 13 13:12:39 +0000 2018,#Watchlist 6-13-18\\n\\n$BITA $CANF $CMCSA $ENPH $ESRX $FOXA $PVTL $T $TWTR\\n\\nFind us at https://t.co/osIChaUr5S\\n\\nHave a good trading day!\\n\\n#trading #stocks #stockmarket #investing #discord  #stock #nasdaq #daytrading
Wed Jun 13 13:10:38 +0000 2018,RT @Focus_on_Dvds: Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend #Yield? $T https://t.co/UfA1qt4xqh #dividend #investing https://t.co/1B\\u2026
Wed Jun 13 13:07:17 +0000 2018,"AT&amp;T prevails in #TimeWarner merger trial, without conditions --  https://t.co/7boxnj9gVf $T, $TWX, $FOX, $FOXA, $DIS, $CMCSA, $SKYAY, $T, $TWX, $CMCSA, $DIS, $FOX, $FOXA, $SKYAY #business #ATT"
Wed Jun 13 13:06:18 +0000 2018,PreMarket Prep Opening NYSE Imbalance Update: Alibaba 67k Shares To Buy; Twitter 231k To Buy; AT&amp;T 400k To Buy; Sprint 166k To Buy $BABA $TWTR $T $S
Wed Jun 13 13:05:45 +0000 2018,"RT @Benzinga: The Market In 5 Minutes: AT&amp;T-Time Warner Ruling, Fed Meeting, Weight Watchers And More https://t.co/Q8J9A9rTbA $T $TWX $WTW\\u2026"
Wed Jun 13 13:05:45 +0000 2018,"The Market In 5 Minutes: AT&amp;T-Time Warner Ruling, Fed Meeting, Weight Watchers And More https://t.co/Q8J9A9rTbA $T $TWX $WTW $TSLA $GES $S $HSY $KMG"
Wed Jun 13 13:04:17 +0000 2018,Read up on what healthcare analysts are saying about the impact of AT&amp;T/Time Warner\'s DoJ green-light and its impact on health deal stocks $T $TWX $AET $CVS $CI $ESRX https://t.co/TeZeZb7nTm
Wed Jun 13 12:55:37 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:45:26 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:42:57 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:40:42 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:40:12 +0000 2018,"AT&amp;T\\u2019s $249 billion projected debt burden after buying Time Warner approaches Indonesia\\u2019s levels, warns analyst Craig Moffett. He\\u2019s screaming \\u201csell.\\u201d\\n$T"
Wed Jun 13 12:40:09 +0000 2018,"The $85B - yes, BILLION - merger between @ATT and @twxcorp set to go ahead after being approved yesterday. The deal is set to pave the way for other large #MergersAndAcquisitions \\ud83d\\udcb8\\n#stockmarket #wallstreet\\n\\nTrade $T on Fondex https://t.co/lIGwm6G2tQ\\n\\nCapital is at risk. https://t.co/HE7GRCBU0H"
Wed Jun 13 12:39:57 +0000 2018,"RT @randomdevtest13: AT&amp;T, Time Warner Deal Is Top Dog Right Now: Market Recon $T https://t.co/a7Fia6SP1p https://t.co/pSlL1l6TFr"
Wed Jun 13 12:39:11 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:39:06 +0000 2018,"This #infographic tracking many AT&amp;T &amp; Time Warner acquisitions, spinoffs over yrs shows how much industry has changed, chased convergence (and doesn\'t even include TCI/ATT or ATT Broadband/Comcast) $t $twx $cmscsa #mediamergers https://t.co/XxXsdZOP17"
Wed Jun 13 12:38:54 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:36:22 +0000 2018,$T (-3.5% #premarket) wins court approval to buy $TWX (+4.2%) over Trump opposition https://t.co/BTxVvdkdNL $FOXA (+7.6%) $FOX (+7.5%) $DIS (-1.9%) $CMCSA (-4.6%) #mergers #stocks #trading
Wed Jun 13 12:36:00 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:35:17 +0000 2018,Judge Approves AT&amp;T And Time Warner Merger \\n\\nPre $T -3.8% $TWX +3.9% \\nthen fixed \\ud83d\\ude09
Wed Jun 13 12:34:14 +0000 2018,RT @ReutersBiz: Judge\'s blessing on AT&amp;T-Time Warner merger opens the M&amp;A gates https://t.co/ibd6jVQXnn $T $TWX https://t.co/WaktXZsj91
Wed Jun 13 12:33:50 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:33:38 +0000 2018,Even after adding debt $T will still only be levered at ~2.5x EBITDA following the $TWX transaction. Think concerns about too much debt are overblown and it\\u2019s interesting here.
Wed Jun 13 12:32:55 +0000 2018,RT @OpenOutcrier: $TWX (+3.9% pre) Judge Approves AT&amp;T And Time Warner Merger - Forbes\\n\\n$T (-3.8% pre)\\n\\nhttps://t.co/Eubpw79rG7
Wed Jun 13 12:32:46 +0000 2018,$TWX (+3.9% pre) Judge Approves AT&amp;T And Time Warner Merger - Forbes\\n\\n$T (-3.8% pre)\\n\\nhttps://t.co/Eubpw79rG7
Wed Jun 13 12:32:00 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:31:16 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/\\u2026"
Wed Jun 13 12:30:57 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:30:36 +0000 2018,RT @ReutersBiz: Judge\'s blessing on AT&amp;T-Time Warner merger opens the M&amp;A gates https://t.co/ibd6jVQXnn $T $TWX https://t.co/WaktXZsj91
Wed Jun 13 12:30:23 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/\\u2026"
Wed Jun 13 12:30:19 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/143\\u2026"
Wed Jun 13 12:30:19 +0000 2018,RT @ReutersBiz: Judge\'s blessing on AT&amp;T-Time Warner merger opens the M&amp;A gates https://t.co/ibd6jVQXnn $T $TWX https://t.co/WaktXZsj91
Wed Jun 13 12:30:06 +0000 2018,"AT&amp;T wins court approval to buy Time Warner, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/IZ344Ojpzv via @dibartz @davidshepardson $T $TWX https://t.co/eSRdNqziUP"
Wed Jun 13 12:30:05 +0000 2018,RT @ReutersBiz: Judge\'s blessing on AT&amp;T-Time Warner merger opens the M&amp;A gates https://t.co/ibd6jVQXnn $T $TWX https://t.co/WaktXZsj91
Wed Jun 13 12:29:24 +0000 2018,RT @ReutersBiz: Judge\'s blessing on AT&amp;T-Time Warner merger opens the M&amp;A gates https://t.co/ibd6jVQXnn $T $TWX https://t.co/WaktXZsj91
Wed Jun 13 12:29:03 +0000 2018,Judge\'s blessing on AT&amp;T-Time Warner merger opens the M&amp;A gates https://t.co/ibd6jVQXnn $T $TWX https://t.co/WaktXZsj91
Wed Jun 13 12:26:53 +0000 2018,"$T is down nearly 4% in premarket. So far, the approval for the AT&amp;T-Time Warner merger has seemed to confuse $T\'s stock."
Wed Jun 13 12:24:54 +0000 2018,"RT @TheStreet: In case your mind is too blown from the $T - $TWX news to check your email, consider this your reminder -- @JimCramer\\u2019s next\\u2026"
Wed Jun 13 12:16:05 +0000 2018,"RT @Sarge986: AT&amp;T, Time Warner Deal Is Top Dog Right Now: Market Recon $T $TWX $CMCSA $FOXA $DIS $CBS $DISCA $LGF $CHTR $S $TMUS $KFY http\\u2026"
Wed Jun 13 12:15:49 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Wed Jun 13 12:14:15 +0000 2018,AT&amp;T and Time Warner get their merger approval - https://t.co/Om3y3hdB3P\\n@twxcorp $T #Media #Telecom #Entertainment #merger $CMCSA $FOXA $DIS
Wed Jun 13 12:13:51 +0000 2018,The political legacy of a failed challenge to the AT&amp;T-Time Warner deal https://t.co/JpHjznzrGR #TVNews #BroadcastNews $T $TWX https://t.co/lElzyUqBHt
Wed Jun 13 12:08:45 +0000 2018,Moffett Nathanson Downgrades AT&amp;T to Sell $T #Profesty
Wed Jun 13 12:07:53 +0000 2018,"RT @randomdevtest13: AT&amp;T, Time Warner Deal Is Top Dog Right Now: Market Recon $T https://t.co/a7Fia6SP1p https://t.co/pSlL1l6TFr"
Wed Jun 13 12:05:27 +0000 2018,"RT @Sarge986: AT&amp;T, Time Warner Deal Is Top Dog Right Now: Market Recon $T $TWX $CMCSA $FOXA $DIS $CBS $DISCA $LGF $CHTR $S $TMUS $KFY http\\u2026"
Wed Jun 13 12:04:08 +0000 2018,"AT&amp;T, Time Warner Deal Is Top Dog Right Now: Market Recon $T https://t.co/a7Fia6SP1p https://t.co/pSlL1l6TFr"
Wed Jun 13 11:58:47 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Wed Jun 13 11:58:25 +0000 2018,$T AT&amp;T slips after $TWX Time Warner buyout gets approval  https://t.co/MxWUq8GzUM
Wed Jun 13 11:55:01 +0000 2018,RT @RichBTIG: WATCH at 4:23 mark: replay of @CNBCFastMoney discussing impact of $T $TWX court decision and implications to $FOXA $DIS $CMCS\\u2026
Wed Jun 13 11:52:55 +0000 2018,"RT @TheStreet: In case your mind is too blown from the $T - $TWX news to check your email, consider this your reminder -- @JimCramer\\u2019s next\\u2026"
Wed Jun 13 11:48:56 +0000 2018,"RT @TheStreet: In case your mind is too blown from the $T - $TWX news to check your email, consider this your reminder -- @JimCramer\\u2019s next\\u2026"
Wed Jun 13 11:47:05 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Wed Jun 13 11:46:47 +0000 2018,"$T downgraded to Sell from Neutral at MoffettNathanson Now sitting on Long Term Major Support area 30-33. T may not be a screaming Buy, but a Sell?"
Wed Jun 13 11:44:44 +0000 2018,Today is a very interesting day for At&amp;t stock. I highly recommend picking up some shares on this drop. At&amp;t\'s balance sheet will only get stronger with Time Warner $T
Wed Jun 13 11:43:59 +0000 2018,"AT&amp;T, Time Warner Deal Is Top Dog Right Now: Market Recon $T $TWX $CMCSA $FOXA $DIS $CBS $DISCA $LGF $CHTR $S $TMUS $KFY https://t.co/acrIpT2Yyu"
Wed Jun 13 11:43:02 +0000 2018,RT @LaMonicaBuzz: The take from Wall Street research firm MoffettNathanson on the AT&amp;T/Time Warner ruling? Not pretty pretty pretty good. D\\u2026
Wed Jun 13 11:42:43 +0000 2018,"RT @TheStreet: In case your mind is too blown from the $T - $TWX news to check your email, consider this your reminder -- @JimCramer\\u2019s next\\u2026"
Wed Jun 13 11:41:12 +0000 2018,"RT @ungarino: \\u201cIf pro forma AT&amp;T were a country, it would place 32nd on the list of highest total debt burdens, between Indonesia (at $335B\\u2026"
Wed Jun 13 11:40:52 +0000 2018,"RT @ungarino: \\u201cIf pro forma AT&amp;T were a country, it would place 32nd on the list of highest total debt burdens, between Indonesia (at $335B\\u2026"
Wed Jun 13 11:40:48 +0000 2018,"RT @TheStreet: In case your mind is too blown from the $T - $TWX news to check your email, consider this your reminder -- @JimCramer\\u2019s next\\u2026"
Wed Jun 13 11:39:26 +0000 2018,RT @LaMonicaBuzz: The take from Wall Street research firm MoffettNathanson on the AT&amp;T/Time Warner ruling? Not pretty pretty pretty good. D\\u2026
Wed Jun 13 11:39:18 +0000 2018,"RT @ungarino: \\u201cIf pro forma AT&amp;T were a country, it would place 32nd on the list of highest total debt burdens, between Indonesia (at $335B\\u2026"
Wed Jun 13 11:37:45 +0000 2018,"\\u201cIf pro forma AT&amp;T were a country, it would place 32nd on the list of highest total debt burdens, between Indonesia (at $335B) and the UAE ($220M).\\u201d \\u2014 media analyst Craig Moffett downgrades $T, citing its now-$249 billion in debt and calling its dividend into question https://t.co/Vol4QgiijF"
Wed Jun 13 11:36:51 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 11:32:29 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 11:31:41 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 11:31:16 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 11:29:26 +0000 2018,The take from Wall Street research firm MoffettNathanson on the AT&amp;T/Time Warner ruling? Not pretty pretty pretty good. Downgrades $T to sell due to debt/balance sheet concerns in report titled \\u201cCurb Your Enthusiasm.\\u201d https://t.co/bkpIFNv31F
Wed Jun 13 11:29:24 +0000 2018,Court approval of AT&amp;T - #TimeWarner deal means stiffer #competition for the likes of #Netflix and #Amazon as large giants can now be formed to direct viewers to specific #media #content.  https://t.co/d9rQIQpuRQ $T #T #TWX $TWX #AMZN $AMZN #NFLX $NFLX #StockMarket #WallStreet
Wed Jun 13 11:22:23 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 11:17:54 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 11:15:37 +0000 2018,$T #AT&amp;TInc. declines in premarket trading. See the latest news. https://t.co/7jWNi9Bhnq https://t.co/sAS150OGXy
Wed Jun 13 11:14:37 +0000 2018,"Expect a massive M&amp;A activity after a federal judge rule on AT&amp;T/Time Warner. At the end, big corporations will benefit from this decision while customers and small/media business are the losers. $T $TWX #Media #Content #Telecom"
Wed Jun 13 11:08:56 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 11:04:10 +0000 2018,"AT&amp;T wins: Judge clears $85 billion bid for Time Warner with no conditions https://t.co/V3WVjOjkKX - Don\'t love the way we keep creating mega-companies, but $T down 2% #premarket $TWX up 4.5% - Once numbers go up for AT&amp;T, quants will have to buy. $DJIA $SPX Big win for @ATT"
Wed Jun 13 11:01:45 +0000 2018,AT&amp;T-Time Warner Ruling a Positive for Pending Cigna-Express Scripts Deal $T https://t.co/TUsCMfgzwp https://t.co/tLVkjJjpjo
Wed Jun 13 11:01:42 +0000 2018,AT&amp;T-Time Warner Ruling May Not Lead to \'Open Season for Deals\' $T https://t.co/jsVTyVpnzk https://t.co/GnIjfVkDMp
Wed Jun 13 11:00:13 +0000 2018,@RichBTIG Great calls continue to come through Rich and BTIG!! I continue to be amazed at all these media cos chasing a boogie man and now tripping all over themselves to overpay for assets and a OTT platform that will lose $$ for at least 5 and likely 10 years. $DIS $T $CMCSA a no touch
Wed Jun 13 10:43:20 +0000 2018,I added more shares of AT&amp;T stock yesterday. Their win over the government to acquire Time Warner will be huge down the road. \\n\\nLong $T
Wed Jun 13 10:31:04 +0000 2018,"AT&amp;T $T Wins Decisive Court Victory, Time Warner Acquisition Progressing - Nomura https://t.co/24nbPX4U4z"
Wed Jun 13 10:08:37 +0000 2018,AT&amp;T-Time Warner Judge Fires Starting Gun in the Battle Against Tech: #SiliconValley #media $T $TWX https://t.co/G5WKEfCeJe
Wed Jun 13 09:50:25 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 09:47:49 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 09:27:59 +0000 2018,Head-To-Head Contrast: TalkTalk Telecom Group $TKTCY and AT&amp;T $T https://t.co/OuRV6TbuOD
Wed Jun 13 09:27:22 +0000 2018,AT&amp;T $T and TalkTalk Telecom Group $TKTCY Critical Analysis https://t.co/2Fw24PEi35 #stocks
Wed Jun 13 09:18:52 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 09:14:55 +0000 2018,$FOXA $CMCSA $TWX $T $DIS $NFLX Green light for AT&amp;T deal sets up Comcast\\u2019s Fox bid and could trigger a merger frenzy  https://t.co/5WrMaTPjD0 via @WSJ
Wed Jun 13 09:07:47 +0000 2018,AT&amp;T $T implied volatility has had increased movement
Wed Jun 13 08:56:22 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 08:45:07 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 08:37:35 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 08:32:38 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 08:32:22 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 08:31:39 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 08:30:49 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 08:26:24 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 08:25:22 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 08:24:54 +0000 2018,"RT @ReutersBiz: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the de\\u2026"
Wed Jun 13 08:24:53 +0000 2018,"AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/sfkdjmgyOT via @dibartz @davidshepardson $T $TWX https://t.co/NMcJsCpnrx"
Wed Jun 13 08:24:39 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 08:22:53 +0000 2018,@optionsboul Buying $T at these levels should be a great investment. I hope it gets back below my first purchase price. I want more. #Media #investing
Wed Jun 13 08:16:53 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 08:15:59 +0000 2018,AT&amp;T $T wins court approval to buy Time Warner $TWX including @CNN #FakeNews over @DOJ opposition https://t.co/R6EnZQHmkz
Wed Jun 13 08:15:46 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 08:14:37 +0000 2018,"RT @theflynews: After judge clears AT&amp;T-Time Warner deal, other deal stocks pop $AET $CVS $CI $ESRX $T $TWX https://t.co/xekONdqCN8"
Wed Jun 13 08:12:00 +0000 2018,Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend Yield? $T https://t.co/UfA1qt4xqh #dividend #investing https://t.co/xKDKDB83hN
Wed Jun 13 08:11:00 +0000 2018,RT @Reuters: Instant view: AT&amp;T wins approval to buy Time Warner for $85 billion https://t.co/SlGELp9Vju $T $TWX https://t.co/kSNTSdjie1
Wed Jun 13 08:06:58 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:50:40 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:43:49 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:35:10 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:29:50 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:27:18 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:22:14 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:22:11 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:17:04 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:14:59 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:14:00 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:08:20 +0000 2018,"REUTERS reports AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/MTWhYhgIE9 by dibartz davidshepardson $T $TWX https://t.co/6GkMAJJ6vg"
Wed Jun 13 07:08:05 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:07:00 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:06:40 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:06:34 +0000 2018,"AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/OtPbGxRTwh by dibartz davidshepardson $T $TWX https://t.co/KoPsZJXrBU"
Wed Jun 13 07:06:34 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:05:12 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:05:09 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:04:38 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:04:01 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:03:50 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:03:26 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:03:24 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 07:03:22 +0000 2018,"AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal https://t.co/FCCkC6WloC by dibartz davidshepardson $T $TWX https://t.co/NhuBfAIQB5 Reuters"
Wed Jun 13 07:01:23 +0000 2018,"RT @Reuters: AT&amp;T wins court approval to buy Time Warner for $85 billion, rebuffing an attempt by Trump\\u2019s administration to block the deal\\u2026"
Wed Jun 13 06:34:30 +0000 2018,"$T clears legal hurdle and the Time Warner deal is very close to completion. Still, it came too late to avoid tenders and mandatory calls earlier this year. Remember who \'loved\' the MRC on AT&amp;T before it was cool... https://t.co/U8WYCAaFDW"
Wed Jun 13 06:12:38 +0000 2018,RT @Reuters: Instant view: AT&amp;T wins approval to buy Time Warner for $85 billion https://t.co/SlGELp9Vju $T $TWX https://t.co/kSNTSdjie1
Wed Jun 13 06:10:54 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Wed Jun 13 06:02:19 +0000 2018,RT @RichBTIG: The most important takeaway from AT&amp;T Time Warner decision that nobody is talking about \\u2014&gt;\\n\\u201cAT&amp;T Wants To Give Video Away for\\u2026
Wed Jun 13 05:51:07 +0000 2018,RT @cfromhertz: *AT&amp;T WINS ANTITRUST RULING ALLOWING TAKEOVER OF TIME WARNER $T $TWX
