Tue Jun 19 23:29:04 +0000 2018,"Insider Selling: Walmart Inc $WMT Director Sells 760,377 Shares of Stock https://t.co/SeOnoxJgzQ"
Tue Jun 19 10:00:38 +0000 2018,"At&amp;T $T Holder Koshinski Asset Management Decreased Its Position by $541,415; Banco Santander Sa $SAN Stock Price Declined While Gfs Advisors Decreased Stake - https://t.co/H9ootnYzW7"
Tue Jun 19 09:55:38 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 09:43:49 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 09:40:34 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 09:14:03 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 09:13:17 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:57:11 +0000 2018,JPMorgan Resumes AT&amp;T $T at Neutral https://t.co/yZHxtaJXQT
Tue Jun 19 08:53:42 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:49:35 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:47:04 +0000 2018,"Comcast, AT&amp;T Set To Become World\'s Most Indebted Companies With Over $350BN In Debt $CMCSA $T $TWC https://t.co/tcDG38k7fL"
Tue Jun 19 08:43:10 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:41:01 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:40:55 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:39:30 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:39:11 +0000 2018,"AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.co/3m6KZlvdBv by LARichwine $T https://t.co/M9PyLCgPxx Reuters"
Tue Jun 19 08:38:24 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:38:09 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:37:33 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:37:07 +0000 2018,"RT @Reuters: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.\\u2026"
Tue Jun 19 08:35:04 +0000 2018,"RT @ReutersBiz: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https:/\\u2026"
Tue Jun 19 08:11:44 +0000 2018,AT&amp;T is on my radar this week for a long term position. $T
Tue Jun 19 08:11:10 +0000 2018,"RT @ReutersBiz: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https:/\\u2026"
Tue Jun 19 08:01:45 +0000 2018,"RT @ReutersBiz: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https:/\\u2026"
Tue Jun 19 08:00:55 +0000 2018,"RT @ReutersBiz: AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https:/\\u2026"
Tue Jun 19 08:00:54 +0000 2018,"AT&amp;T promises fewer commercials, smaller channel bundles and personalized programming after Time Warner mega-merger https://t.co/nKrJlmOXh9 by @LARichwine $T https://t.co/wXoycIhGSs"
Tue Jun 19 05:33:39 +0000 2018,"AT&amp;T/TWX closing details: stock/cash split, expected synergies $TWX $T https://t.co/sAYxqhIxZw"
Tue Jun 19 04:40:01 +0000 2018,Buy or Sell AT&amp;T Inc. Stock With Its 6% Dividend #Yield? $T https://t.co/UfA1qt4xqh #dividend https://t.co/I4Yn2D4apc
Tue Jun 19 04:03:50 +0000 2018,"RT @TedatACA: @WSJ: Mergers to Make AT&amp;T, Comcast World\\u2019s Most Indebted Companies https://t.co/BstB14P0fM $CMCSA $T https://t.co/OjIuzFMfP9"
Tue Jun 19 03:40:20 +0000 2018,"Extremely heavily shorted $BABA = $25,471,900,000 $AABA = $2,163,510,000! (Estimated) at what price do they start to cover??? $TSLA $BIDU $GOOGL $W $LULU $FB $RH $FSLR $JD $MOMO $VZ $T $XON $BA $WMT $PYPL $BOX $WYNN $AMD $AAPL $NFLX $AMZN $IQ $TMUS $GME $AKS $EAST $AOI"
Tue Jun 19 03:18:07 +0000 2018,"@TeslaCharts @konrad_bilinski @spaxx7 @scheplick @elonmusk I\'ve been long $IQ since a bit after IPO. It\'s been great to me so far up 145% and I think it\'ll continue. Holding $TWTR long. Added to $SNAP, $BIIB and $TSLA obviously on some recent drops. I like $KHC, $PEP, $VZ and $T as my div stocks I bought at value and continue to add."
Tue Jun 19 02:56:55 +0000 2018,Anybody notice the AH volume on $T tonight? I looked at day volume after the close and it was 61 million and now it\\u2019s 78 million. Something up?? #trading #bullorbust
Tue Jun 19 01:24:01 +0000 2018,"$T $TIME $TWX AT&amp;T promises fewer ads, tailored programing after merger https://t.co/Cc8N8NyvTh"
Tue Jun 19 01:00:46 +0000 2018,RT @WealthDisrupter: Smart to be very light in holdings today. I am currently holding $T which is a very safe dividend playing stock. It di\\u2026
Tue Jun 19 01:00:02 +0000 2018,RT @WealthDisrupter: $T was purchased at 32.35 https://t.co/RMa9rjtWiu
Tue Jun 19 00:42:37 +0000 2018,Investors Buy AT&amp;T $T on Weakness  https://t.co/KtZGLtzjcR
Tue Jun 19 00:37:51 +0000 2018,AT&amp;T: Expect fewer but more targeted ads on new networks https://t.co/1i3JI9Z0k7 $T
Tue Jun 19 20:20:06 +0000 2018,$BABA CLOSES WITHIN PREVIOUS DAY\'S RANGE: https://t.co/mdTV7Djyjm\\nSentiment: Neutral #BABA #Alibaba
Tue Jun 19 19:03:10 +0000 2018,Hermes Investment Management LTD Has Upped Its Alibaba Group Hldg LTD $BABA Position by $184.55 Million - https://t.co/aoICxwPtCF
Tue Jun 19 19:01:03 +0000 2018,"As Alibaba Group Hldg LTD $BABA Shares Rose, Hermes Investment Management LTD Increased by $184.55 Million Its Position ..."
Tue Jun 19 18:59:28 +0000 2018,Hermes Investment Management LTD Has Lifted Its Holding in Alibaba Group Hldg LTD $BABA by $184.55 Million as Share Price Rose https://t.co/Te9QKiDfTn
Tue Jun 19 18:59:02 +0000 2018,Hermes Investment Management LTD Increases Holding in Alibaba Group Hldg LTD $BABA https://t.co/n5Wttx3Hge
Tue Jun 19 18:58:08 +0000 2018,Hermes Investment Management LTD Has Raised Its Alibaba Group Hldg LTD $BABA Position by $184.55 Million https://t.co/Gwu41u9z1U
Tue Jun 19 18:23:03 +0000 2018,"Alibaba Group Holding LTD Sp A $BABA Share Value Rose While Winslow Capital Management Increased Its Stake; Credit Agricole S A Has Upped Biogen $BIIB Stake by $750,750 - https://t.co/ep1UZ2lGIY"
Tue Jun 19 15:12:05 +0000 2018,"Baidu, Alibaba, and Tencent Are All Investing in This Hot IPO @themotleyfool #stocks $TCEHY, $BIDU, $BABA, $AAPL https://t.co/TGGKHUOTWY"
Tue Jun 19 14:31:21 +0000 2018,$BABA #AI Healthcare \\
Tue Jun 19 13:58:56 +0000 2018,"Joho Capital Has Increased Its Stake in Alibaba Group Hldg LTD $BABA as Market Valuation Rose; Facebook $FB Shareholder Courage Capital Management Raised Its Holding by $795,000 as Stock Price Declined - https://t.co/CShRPoKKes"
Tue Jun 19 10:03:56 +0000 2018,"RT @JerryCap: $BABA says that over the last year, it has redone about 1 million mom and pop shops like the Huangs\' across China. \\n\\nhttps://\\u2026"
Tue Jun 19 09:21:31 +0000 2018,"#Alibaba ( $BABA), #PayPal ( $PYPL) and #amazon ( $AMZN) Big No to $Crypto including #Ripple ( $XRP).\\n@AlibabaGroup @PayPal @amazon\\n#alibaba\\n#Baba #paypaltech #payments #pypl #AmazonExclusive #AmazonPrime #amzn #Crypto #Digital\\nhttps://t.co/5WTLEhMziN via @cryptoglobalist"
Tue Jun 19 07:30:35 +0000 2018,This Secret Play on Alibaba Shows a 70% Profit Opportunity $BABA #stockstowatch https://t.co/f2s0IP2Vgw
Tue Jun 19 04:57:06 +0000 2018,RT @emilybary: The highest Alibaba target on the Street. $BABA https://t.co/Dg2ZTlRWNp
Tue Jun 19 04:01:49 +0000 2018,RT @santimes_stock: Alibaba $BABA Buy Rating Kept by Susquehanna; The Target Price per Share is Set to $305.0000; 6 Analysts Bullish Portol\\u2026
Tue Jun 19 03:53:58 +0000 2018,"RT @JerryCap: $BABA says that over the last year, it has redone about 1 million mom and pop shops like the Huangs\' across China. \\n\\nhttps://\\u2026"
Tue Jun 19 00:54:41 +0000 2018,"RT @JerryCap: $BABA says that over the last year, it has redone about 1 million mom and pop shops like the Huangs\' across China. \\n\\nhttps://\\u2026"
Tue Jun 19 18:24:31 +0000 2018,Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB https://t.co/NwR6aYMKUd
Tue Jun 19 23:50:27 +0000 2018,What\'s that you say Terrance and Philip?  You and your uncle launder money with Facebook $FB advertising with the help of Venture Capital Yesterday? https://t.co/XLAGGvFsr4
Tue Jun 19 23:44:02 +0000 2018,$FB - Harvester of Facebook Data Wants Tighter Controls Over Privacy--Update https://t.co/zpHApFNjQ6
Tue Jun 19 23:44:01 +0000 2018,$FB - Harvester of Facebook Data Wants Tighter Controls Over Privacy--Update https://t.co/e1F4TpUhZW
Tue Jun 19 23:37:57 +0000 2018,$FB This FANG Stock Pulls Back Into Buy Range Amid Market Sell-Off\\n\\nhttps://t.co/GdET06Y6wO
Tue Jun 19 23:24:57 +0000 2018,RT @Convertbond: Apple $AAPL\\nAmazon $AMZN\\nGoogle $GOOGL\\nMicrosoft $MSFT\\nFacebook $FB\\n\\nTop 5 companies in the S&amp;P 500 now account for ~15% o\\u2026
Tue Jun 19 23:23:29 +0000 2018,"$FB Facebook, Inc. SEC Filing: Form 4 https://t.co/zNSm5znRPb"
Tue Jun 19 23:14:55 +0000 2018,$FB Facebook - 4 (Statement of Changes in Beneficial Ownership) SEC Filing\\nFrom our Stock News Alerts App
Tue Jun 19 23:08:19 +0000 2018,"Facebook CEO Mark Zuckerberg and COO Sheryl Sandberg are taking a stand against the separation of children from their parents at the U.S-Mexico border, donating to an online campaign aimed at reuniting these families.\\n\\nhttps://t.co/if7IQUhvO0 $FB #CSR #GRC"
Tue Jun 19 22:59:53 +0000 2018,"NYT\'s social media relations: Google\'s good, Facebook\'s failing https://t.co/iKJxl6tbAq $GOOG $GOOGL $NYT $FB"
Tue Jun 19 22:51:48 +0000 2018,#Facebook can now use #ArtificialIntelligence to open eyes in blinking self photos. https://t.co/wUH0r86RFW #facebooklive #technology #geek #photography $FB https://t.co/ZMh9W9Atas
Tue Jun 19 22:29:00 +0000 2018,"NYT\'s social media relations: Google\'s good, Facebook\'s failing $GOOG $GOOGL $NYT $FB $TWTR https://t.co/L2ZrYv2Uum"
Tue Jun 19 22:23:42 +0000 2018,RT @blackbullforex: Children Are Our Future\\n\\nFacebook used to dominate the Social media space among teenagers. But now other digital platfo\\u2026
Tue Jun 19 22:06:35 +0000 2018,Children Are Our Future\\n\\nFacebook used to dominate the Social media space among teenagers. But now other digital platforms have eclipsed the \\
Tue Jun 19 21:43:31 +0000 2018,RT @businessinsider: Facebook is building a big new $750 million data center in Alabama $FB https://t.co/gd2szPlMH3
Tue Jun 19 21:32:30 +0000 2018,Has the glass ceiling been broken in Minnesota? Facebook says yes. https://t.co/8Ugx86TlWo $FB https://t.co/XoBhup7SQZ
Tue Jun 19 21:19:34 +0000 2018,$FB Facebook takes another shot at grabbing social media stars from YouTube https://t.co/wMOjntBiKN
Tue Jun 19 21:19:33 +0000 2018,$AMZN $CEO $FB $IPG $SNAP $TWTR The CEO of agency giant IPG welcomes challengers to Facebook and Google: \'The more the merrier\' https://t.co/h9Io8h6tbw
Tue Jun 19 21:18:22 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 21:07:44 +0000 2018,"RT @carlquintanilla: \\u201cTwitter is becoming an exciting and interesting platform again,\\u201d he said. ...  \\u201cFacebook we have found to be very dif\\u2026"
Tue Jun 19 20:28:50 +0000 2018,"RT @lilnickysmith: $GPRO $FB\\nVice President of Product Marketing at Facebook, has joined GoPro\'s Board of Directors\\nhttps://t.co/BiQnRasguf"
Tue Jun 19 20:19:04 +0000 2018,"$GPRO $FB\\nVice President of Product Marketing at Facebook, has joined GoPro\'s Board of Directors\\nhttps://t.co/BiQnRasguf"
Tue Jun 19 20:18:54 +0000 2018,$FB FINDS BUYERS AT KEY SUPPORT LEVEL: https://t.co/2Tengmjqhm\\nSentiment: Neutral #FB #Facebook
Tue Jun 19 20:06:19 +0000 2018,Regulatory mistakes that enabled Google and Facebook to dominate the advertising landscape $GOOG $FB \\nhttps://t.co/scBczKoRRW?
Tue Jun 19 19:56:22 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 19:53:02 +0000 2018,$SNAP $FB Facebook Follows Users Into Every Nook With Ads via https://t.co/jURZDymPXI
Tue Jun 19 19:50:54 +0000 2018,Facebook  $FB Holder Davis Selected Advisers Upped Holding by $78.67 Million as Share Value Declined; Tesaro $TSRO Shareholder Tobam Has Raised Its Position by $11.54 Million as Market Value Declined - https://t.co/4tpbfJU3bB
Tue Jun 19 19:47:43 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 19:42:35 +0000 2018,"RT @presiamapp: Today we have reached a small milestone. There are now over 60,000 early adopters/beta testers that have registered for the\\u2026"
Tue Jun 19 19:36:01 +0000 2018,$FB - Harvester of Facebook Data Wants Tighter Controls Over Privacy https://t.co/jCxNJnIgZU
Tue Jun 19 19:36:01 +0000 2018,$FB - Harvester of Facebook Data Wants Tighter Controls Over Privacy https://t.co/i3AinEuEVR
Tue Jun 19 19:33:38 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 19:27:15 +0000 2018,via dseetharaman: Kogan speaking to lawmakers about his app &amp; relationship with Facebook. Follow livestream here. https://t.co/bbxspc6X7N His testimony here: https://t.co/azHfZIWOxL Our story: https://t.co/2zj1cE2Kpv $fb https://t.co/42RcAjCtc4
Tue Jun 19 19:25:41 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 19:21:53 +0000 2018,Facebook Inc $FB shares fall 0.44% to $197.45
Tue Jun 19 19:14:01 +0000 2018,"RT @carlquintanilla: \\u201cTwitter is becoming an exciting and interesting platform again,\\u201d he said. ...  \\u201cFacebook we have found to be very dif\\u2026"
Tue Jun 19 19:04:16 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 19:00:18 +0000 2018,52-Week High Alert: Trading today\\u2019s movement in FACEBOOK\\u00a0$FB https://t.co/q8p29GE812 https://t.co/U0C6oOnKBg
Tue Jun 19 18:57:41 +0000 2018,RT @andreascseh: Things are getting out of control #inequality nevermind you can comment on Facebook $FB or watch Netflix $NFLX while placi\\u2026
Tue Jun 19 18:55:23 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:51:15 +0000 2018,"NYT\'s social media relations: Google\'s good, Facebook\'s failing https://t.co/30A7YRiHL6 $GOOG $GOOGL $NYT $FB"
Tue Jun 19 18:48:18 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:46:47 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:45:59 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:45:04 +0000 2018,"RT @carlquintanilla: \\u201cTwitter is becoming an exciting and interesting platform again,\\u201d he said. ...  \\u201cFacebook we have found to be very dif\\u2026"
Tue Jun 19 18:44:13 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:42:04 +0000 2018,"NYT\'s social media relations: Google\'s good, Facebook\'s failing $GOOG $GOOGL $NYT $FB $TWTR https://t.co/93BQXYyvIP"
Tue Jun 19 18:40:31 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:35:30 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:34:16 +0000 2018,"RT @carlquintanilla: \\u201cTwitter is becoming an exciting and interesting platform again,\\u201d he said. ...  \\u201cFacebook we have found to be very dif\\u2026"
Tue Jun 19 18:33:25 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:33:07 +0000 2018,"A Reversal for Facebook, Inc. $FB Is Not Near. The Stock Reaches 52-Week High Today - https://t.co/CV1bXMkxek"
Tue Jun 19 18:30:59 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:30:24 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:28:52 +0000 2018,"Will Facebook, Inc. $FB Run Out of Steam Soon? https://t.co/9Z73G1ydh0"
Tue Jun 19 18:28:08 +0000 2018,"Could Facebook, Inc. $FB See a Reversal After Breaking Its 52-Week High? https://t.co/jufgvz3c8U"
Tue Jun 19 18:27:17 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:27:07 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:26:26 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:26:03 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:25:50 +0000 2018,"What Next for Facebook, Inc. $FB Stock After Touching 52-Week High? https://t.co/wdi7PWZtpx"
Tue Jun 19 18:25:45 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:25:38 +0000 2018,"NYT\'s social media relations: Google\'s good, Facebook\'s failing https://t.co/eIA68l5Fhe $GOOG $GOOGL $NYT $FB"
Tue Jun 19 18:25:38 +0000 2018,"NYT\'s social media relations: Google\'s good, Facebook\'s failing https://t.co/2KtaHadeLb $GOOG $GOOGL $NYT $FB"
Tue Jun 19 18:25:21 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:25:11 +0000 2018,"Could Facebook, Inc. $FB Go Down After Touching 52-Week High? https://t.co/SfbrA6gA8L"
Tue Jun 19 18:25:00 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:24:40 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:24:34 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:24:34 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:24:34 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 18:24:32 +0000 2018,RT @businessinsider: Mark Zuckerberg asks Facebook users to donate to help migrant families: \'We need to end this policy right now\' $FB htt\\u2026
Tue Jun 19 17:59:13 +0000 2018,"Instant Articles 2.0\\nFacebook Video 2.0\\nPublisher ad network 2.0\\n\\nMedia co\\u2019s are so desperate, they will try anything even if they hit their head &amp; get stuck over &amp; over. The duopoly sucks the pricing out of market &amp; then can get content for almost nothing. Zuck\\u2019d. Squeezed. $FB https://t.co/2h8omJennU"
Tue Jun 19 17:56:33 +0000 2018,via dseetharaman: Facebook CEO Zuckerberg weighs in on border policy. $fb https://t.co/AxP5cY9ciE
Tue Jun 19 17:40:24 +0000 2018,"RT @carlquintanilla: \\u201cTwitter is becoming an exciting and interesting platform again,\\u201d he said. ...  \\u201cFacebook we have found to be very dif\\u2026"
Tue Jun 19 17:31:06 +0000 2018,"via carlquintanilla: \\u201cTwitter is becoming an exciting and interesting platform again,\\u201d he said. ...  \\u201cFacebook we have found to be very difficult\\"
Tue Jun 19 17:31:05 +0000 2018,"\\u201cTwitter is becoming an exciting and interesting platform again,\\u201d he said. ...  \\u201cFacebook we have found to be very difficult\\"
Tue Jun 19 17:12:46 +0000 2018,"RT @presiamapp: Today we have reached a small milestone. There are now over 60,000 early adopters/beta testers that have registered for the\\u2026"
Tue Jun 19 17:08:03 +0000 2018,RT @OphirGottlieb: Facebook Messenger Will Now Include Autoplaying Ads With Your Private Conversations\\n\\nhttps://t.co/4SG24kjJgn\\n\\n$FB
Tue Jun 19 17:00:16 +0000 2018,Facebook Messenger Will Now Include Autoplaying Ads With Your Private Conversations\\n\\nhttps://t.co/4SG24kjJgn\\n\\n$FB
Tue Jun 19 16:44:14 +0000 2018,RT @andreascseh: Things are getting out of control #inequality nevermind you can comment on Facebook $FB or watch Netflix $NFLX while placi\\u2026
Tue Jun 19 16:37:15 +0000 2018,Things are getting out of control #inequality nevermind you can comment on Facebook $FB or watch Netflix $NFLX while placing one click Amazon $AMZN orders on your #FaceID Apple $AAPL #iPhoneX ajajajajaj @charliebilello https://t.co/tS2Z4d1ph8
Tue Jun 19 16:12:36 +0000 2018,Facebook Delivers \\u2014 Stock at All Time High #FB $FB\\nhttps://t.co/8nIJbhyjn0 https://t.co/RpInd8aKkq
Tue Jun 19 16:09:26 +0000 2018,"Buying Disney Would Make Facebook, Inc. Stock a Lot More Real $DIS $FB https://t.co/XNhUjlS3Zf"
Tue Jun 19 15:57:01 +0000 2018,$FB Facebook Misses Another Senate Deadline on Privacy Questions via https://t.co/jURZDymPXI
Tue Jun 19 15:55:28 +0000 2018,Facebook is building a $750 million data center in this state https://t.co/agi4FVqLue via @FortuneMagazine $FB #datacenters
Tue Jun 19 15:19:09 +0000 2018,Try being more than just a #consumer. \\n\\nYou\'re using twitter right now....invest in it. \\n\\nUse Netflix? buy some $NFLX shares\\nUse an iphone? buy some $AAPL shares\\nUse Facebook? buy some $FB shares\\n\\n#Invest in what you believe in and use on a day to day basis.
Tue Jun 19 15:16:18 +0000 2018,"RT @presiamapp: Today we have reached a small milestone. There are now over 60,000 early adopters/beta testers that have registered for the\\u2026"
Tue Jun 19 15:11:07 +0000 2018,RT @DITRStocks: Looks like $DIRV updated its website - https://t.co/Wx5juX6hUh - with new big name clients like $FB (Facebook) and $PEP (Pe\\u2026
Tue Jun 19 15:07:54 +0000 2018,"Looks like $DIRV updated its website - https://t.co/Wx5juX6hUh - with new big name clients like $FB (Facebook) and $PEP (Pepsico).  Whois search shows it was updated on March 7th, 2018! https://t.co/GzcRFQT2OA"
Tue Jun 19 15:04:36 +0000 2018,Now Facebook is putting autoplay video ads inside Messenger $FB - https://t.co/riEPSBeky3
Tue Jun 19 14:51:50 +0000 2018,RT @barronstechblog: Barron\\u2019s Tech Trader Daily - \\u2066@jswartz\\u2069 - $FB https://t.co/QtAGXd6g0e
Tue Jun 19 14:46:17 +0000 2018,Barron\\u2019s Tech Trader Daily - \\u2066@jswartz\\u2069 - $FB https://t.co/QtAGXd6g0e
Tue Jun 19 14:20:39 +0000 2018,Facebook $FB Valuation Declined While Tpg-Axon Management LP Has Boosted by $8.94 Million Its Position; Acadian Asset Management Has Raised Its Stake in Toro Co $TTC as Shares Declined - https://t.co/DglvyCoFwq
Tue Jun 19 14:12:36 +0000 2018,RT @EghosaO: There Is No Justification for What Zuckerberg Did to WhatsApp https://t.co/6e0LRMsmhI\\n\\
Tue Jun 19 14:00:50 +0000 2018,Hey @POTUS We MUST Break Up #GOOGLE #FACEBOOK #AMAZON =Innovation\'s Stifled when there\'s NO COMPITETION: Today\'s JUST LIKE WHEN STANDARD OIL was BROKEN UP it\'s JUST the internet that\'s NEW instead of OiL= #DOJ can Use the SAME SHERMAN act $AMZN $FB $GOOG https://t.co/0ts8spPJTK
Tue Jun 19 13:53:38 +0000 2018,Why?\\n\\n1\\u20e3 $GOOG / $FB ad revenues up 31% YOY (via Magna).\\n2\\u20e3 Digial Advertising supply chain dominance / control / monopoly\\n\\nVia @axios https://t.co/p8xBUz7QHm
Tue Jun 19 13:38:04 +0000 2018,@ncLobo Real-Money-Fake-Business.  $FB launders money for #VentureCapital all VC companies are told to BURN their money Advertising on $FB.  Who wins?  Owners(early) in Facebook.  Not a real business.  A Shark Lending front...... https://t.co/4a2QGhGV8f
Tue Jun 19 13:16:35 +0000 2018,"RT @AndoniaPR: 2012 ... Last one, I promise. (Clearly was a #Facebook contrarian but still rec as advertising platform for clients). Net-ne\\u2026"
Tue Jun 19 13:15:49 +0000 2018,"RT @AndoniaPR: 2012 ... Last one, I promise. (Clearly was a #Facebook contrarian but still rec as advertising platform for clients). Net-ne\\u2026"
Tue Jun 19 12:45:16 +0000 2018,Facebook Algorithm Changes: What Content Marketers Need to Know $FB @equitiesinc https://t.co/dVPqIyUuno
Tue Jun 19 12:43:07 +0000 2018,"Fiserv $FISV Holder American Research &amp; Management Increased Stake; As Facebook  $FB Shares Declined, Holder Gillespie Robinson &amp; Grimm Has Decreased Position by $976,737 - https://t.co/r9oqGEns42"
